"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
112350,84160236,46210,"International Business Machines Corp., Q4 2009 Earnings Call, Jan 19, 2010",2010-01-19,"Earnings Calls","International Business Machines Corporation","Executives","Thank you for joining us today. The fourth quarter capped off a great year for IBM, driven by continued margin expansion, profit growth and cash generation, all in an uncertain environment. Let me start out by sharing a few financial highlights.In Systems",4795,"Thank you for joining us today. The fourth quarter capped off a great year for IBM, driven by continued margin expansion, profit growth and cash generation, all in an uncertain environment. Let me start out by sharing a few financial highlights.In Systems, we had substantial share gains in POWER four points, System x three points, Blades six points and Storage one point. In Software, we had share gains at WebSphere, Tivoli and Key Branded Middleware. And in Services, we brought $18.8 billion of Services signings and $57 billion for the year.In 2009, outsourcing signings were up 9% or 11% at constant currency. Once again, we had great profit and margin performance. This quarter, PTI grew 10%. We expanded margin and grew pretax profit in every segment. As we indicated in October, we had double-digit profit growth in Systems and Technology, up 15%.For the year, PTI margin was up 2.8 points, led by Services, up over two points; Software, up over five points; and Financing, up over six points. When you put this all together, we delivered EPS of $3.59 which is up 10% and $10.01 for the year, up 13%, making this our seventh consecutive year of double-digit EPS growth.Now let me give you another perspective on 2009 EPS. In May 2007, we established our roadmap with an EPS objective for 2010 of $10 to $11, and with EPS of $10.01 in 2009. Despite a challenging economy, we got there one year early. In 2010, we expect to deliver our eighth consecutive year of double-digit EPS growth, or at least $11 of earnings per share for the year with consistent EPS growth throughout the year.For the first quarter, we expect a four- to five-point improvement in IBM's year-to-year revenue growth rate from the fourth quarter at both actual rates and constant currency. This would result in mid single-digit revenue growth at actual rates, with Software posting double-digit growth. We are confident in our ability to continue to leverage our business model to expand margins, grow profit, generate cash, return value to shareholders and return to revenue growth of 2010.Now before moving on to details of the quarter, I want to take a step back and talk about our performance over the long-term. You can see that we have consistently generated strong profit and cash growth since the last recession in 2002. So let's look at what we've accomplished recession to recession.Since 2002, we've added $12 billion to our pretax profit base. Our pretax margin is up 2.5 times, our EPS is up four times. And cumulatively, we generated about $80 billion of free cash flow. This is the result of a dramatic transformation we started at the beginning of this decade. It is driven by a combination of shifting our business mix, improving operating leverage to productivity and investing to capture growth opportunities. Let's take a look at these three initiatives.First, we've been remixing our business to move to higher value areas. We exited commoditizing businesses while at the same time acquiring 108 companies since 2000 for a total of almost $22 billion. This portfolio actions have contributed to a significant change in our mix of businesses. In 2000, Services segment PTI was $4.5 billion and in 2009, it's over $8 billion.Our Software profit growth is even more impressive. In 2000, Software segment PTI was 2.8 billion. And in 2009, it's also over $8 billion. That's almost tripled. In 2009, over 90% of our segment profit came from Software, Services and Financing. With Software and Services, each contributing 42% of our segment PTI. The unique portfolio businesses we built heavily weighted towards Software and Services, generates high profitability and we'll continue to remix [ph] to higher value through organic investments and acquisitions.Second, we had an ongoing focus on driving operating leverage through productivity. We are leveraging our scale and global footprint to improve processes and productivity in a number of areas like support functions and service delivery. In 2009, we yielded $3.7 billion of cost and expense savings from our structural actions we've taken. Along with mix, these helped drive our 1.7 point improvement in gross margin and 9% reduction in operational expense for the year. These actions are reducing our fixed cost base and improving the operational balance points. This will provide a real advantage as the expanding [ph] environment improves, with solid operating leverage off of our now leaner cost base.Third, our strong margins and profitability enable us to make significant investments for growth. We have been investing to capture the opportunity in the emerging markets, as these countries build out their public and private infrastructures. In 2009, while the economic environment flow globally, our revenue growth in the growth markets remained eight point faster than the majors. We've been investing in capabilities that differentiate IBM and accelerate the development of new market opportunity, areas like Business Analytics and Cloud Computing and Smarter Planet.In 2009, we invested almost $6 billion in research and development to strengthen our technology leadership. Lastly, we announced that for the 17th consecutive year, we were number one in U.S. patents with over 4,900 in 2009. That is more than the total for Microsoft, HP, Oracle, Apple, Accenture and Google combined. And consistent with our shift in business mix, about 70% of our patent portfolio is for Software and Services.We've complemented our organic investments with acquisitions. And one of our primary investment areas is Business Analytics, which provides a solid platform for our Smarter Planet initiatives. Since 2005, we've invested $10 billion or $8.5 billion net in 14 strategic acquisitions to build our Business Analytics capability. These acquisitions delivered strong results in 2009, generating 9% revenue growth at constant currency.So over the last decade, we have driven a significant transformation of our business. And we will continue to shift to higher value areas, improve efficiency of the business and invest where we see the best long-term opportunities. All of this, positions us for growth as we move into 2010.Now I'll turn to the detailed financial results for the fourth quarter. I'll start with a quick walk on the P&L for the quarter. Our revenue was $27.2 billion, that's up 1% year-to-year and down 5% at constant currency. With continued strong margin performance, we increased pretax income by 10% and net income by 9%. Gross margin expanded 40 basis points due to better margins in Services and Systems. Our expense was better by 5% year-to-year, driven by actions we've taken to continue to transform and globalize the business and focus expense management.Pretax margin was up 1.9 points year-to-year to 23.4%. With an increase in our tax rate year-to-year, net income margin expanded 1.3 points to 17.7%. And finally, our ongoing share repurchase activity drove a lower share count year-to-year, though it was up sequentially due to increased dilution because of the higher stock price. So bottom line, we delivered $3.59 of earnings per share, up 10% from a year ago. And I'll remind you, that we had 18% EPS growth in the fourth quarter of last year. So this is double-digit growth off a very strong base.The balance sheet is solid and capital structure is well positioned to support our strategy. Our liquidity position remains strong. We've finished the year with $14 billion of cash on hand. Now let me get into the fourth quarter detail starting with revenue by geography.In discussing the geo results as always, I'll focus my comments on constant currency. The major market growth was consistent with the last couple of quarters. In the fourth quarter, U.K. had solid growth. And sequentially, we improved performance in Canada and Japan. The growth markets once again outpaced the major markets in the fourth quarter by nine points of revenue growth. For the year, the growth markets grew eight points faster, and contributed 19% of IBM's geographic revenue. This quarter, the BRIC countries were up 7% driven by growth in India, Brazil and China. And for the full year, China grew 10%.In China, we're leveraging our broad portfolio to provide comprehensive solutions to our clients. Recently, we announced one of the largest and most comprehensive Consulting engagements to date in China, while we're helping to build smart eco cities across the country. We see growing opportunity around the world, much of which is outside the traditional IT opportunity to help our client drive efficiency in their physical infrastructures.Turning to the results by segment. I'll get into the specifics within each of the segment's discussions. But let me give you a snapshot of the revenue and growth profit performance. Our total Services revenue performance at constant currency was fairly consistent with third quarter. And we had year-to-year growth in both signings and backlog. In Software, we gained share in Key Branded Middleware. We had a number of transactions that didn't close this quarter, and we're entering the first quarter with a very strong pipeline.Systems and Technology year-to-year growth improved again in the fourth quarter, with share gains in most brands and particular strength in System x. Across all of our segments, we had great margin performance. Our productivity initiatives have yielded consistent improvement in our growth margin over time. This is the 21st quarter of the last 22 that we've expanded our gross margin. Now that's quite a streak. Now let's take a look below the gross profit line to our expense in spending profile.Our total expense and other income was down 5%. And our expense to revenue ratio improved 1.5 points year-to-year. The expense reduction was driven entirely by operational expense, which improved 15 points year-to-year. Mitigating this improvement, currency impacted expense growth by nine points and acquisitions by one point. We've been executing our operational plan to increase efficiency and drive productivity, leveraging scale in our global footprints. We focused on all areas of the business. And this year, we yielded $3.7 billion of costs and expense savings from a number of initiatives, such as the globalization of our support function and rebalancing our workforce. These actions reduced our cost base to make it more variable, a lower level of fixed cost improve our operational balance point. So as we returned to growth, we'll get better operating leverage off of our cost base.To close out the discussion on spending, as always I'll lay out the roadmap of items that have significant year-to-year impact to our profit. First, accounts receivable provision was better by about $70 million year-to-year, driven by a lower level of addition versus last year. Our reserve coverage is flat year-to-year at 2%. Second, we had a year-to-year benefit of about $80 million from investment transactions, driven by a charge in the fourth quarter of 2008 related to an investment in a joint venture.Third, consistent with what we told you in October, we had workforce rebalancing charges of about $100 million in the quarter, virtually all of it in Europe. These charges are down $340 million from last year's fourth quarter. Impacting profit growth, our retirement related plans were worth by $100 million in the fourth quarter. As we described last quarter, we had a one-time curtailment gain associated with a non-U.S. plan of about $120 million. We also had an unprecedented regulatory charge in Germany. Let me explain.Companies with German pension plans are subject to mandatory pension insolvency insurance coverage. In the fourth quarter, we received notification of a significant premium increase due to the level of insolvencies of other companies in Germany in 2009. This does not relate to the IBM plan, it's other companies plan in Germany. This premium increase resulted in an annual charge of almost $140 million, a year-to-year impact of $120 million in the quarter. So the cash impact will be spread over five years. So this quarter, we had a large gain and an unanticipated offsetting charge in our retirement related costs, neither of which is related to our operational performance.For the full year 2009, retirement related plans including this insolvency insurance charge cost about $1.4 billion. This is relatively flat versus 2008. Let me comment on the performance of our pension plan.In the U.S. plan, return on assets was up 11% for the year. Our non-U.S. plans which comprise about 40% of our assets, in aggregate, were up 14%. So globally, our pension plans were up 12% for the year.Looking forward, we will hold our expected U.S. long-term return assumption at 8%. And we'll take our discount rate down to 5.6%, reflecting the current interest rate environment. In 2010, with these assumptions together with other factors such as changes in actuarial assumption, we expect retirement-related cost expense at $1.5 billion, a year-to-year increase of almost $100 million.From a funding perspective, we ended the year with total assets in our defined benefit plan of $82 billion. Our U.S. plan is fully funded. And globally, our qualified plan are 99% funded. So we've made great progress in the year. I'll comment on two other items.The year-to-year change in currencies, our hedge of cash flow program generated a loss in fourth quarter 2009 as compared to a gain last year. The year-to-year impact in the fourth quarter was over $430 million, which is roughly half in expense and half in cost of goods sold. Our tax rate was 24.6% in the quarter, up 80 basis points year-to-year. For the full year 2009, our tax rate was 26%. And for 2010, we expect the tax rate in the range of 26% to 26.5%, still fairly consistent on a year-to-year basis.Now let's turn to our segment margins. This is a snapshot of both growth in pretax margin by segment and as you can see, the improvement is broad-based. Our PTI margin improvement of 1.9 points was led by Systems and Technology, up 2.6 points, Software, up 2.4 points and Global Financing, up 4.5 points. I'll comment briefly on our Global Financing business.We are emerging from a challenging credit environment with strong financial results in Global Financing. Our Financing business remain focused on core competencies, providing IT Financing for our IBM customers and business partners, and deliver both gross profit margin and PTI margin expansion this quarter. And we ended the year with a return on equity of 34%. Now let's turn to the segment starting with Services.In the fourth quarter, the two Services segments delivered strong margin performance and good growth in outsourcing signings to cap off a very strong year. For the full year, the combined Services business delivered $8.1 billion in pretax income, up 11% year-to-year. Pretax margin was up 2.3 points to 14.1%. This improved margin was the result of the structural changes we've made to service delivery over the past several years. The global delivery capabilities we've built proved to be dynamic and flexible enough to deal with very tough market conditions.Our backlog at the end of the year was $137 billion, up $7 billion year-to-year and over $2 billion sequentially. We delivered $57 billion in new Services business with outsourcing signings up 11% at constant currency for the year. Outsourcing signings growth was broad based. We grew across all major geographies, the Americas, Europe and Asia. And we grew in each of our outsourcing category, strategic outsourcing, business transformation outsourcing and applications outsourcing. Overall, we have very strong margin and signings performance in what was a difficult economic climate.Now let me turn to the fourth quarter results. Our Services segment delivered revenue of $14.6 billion, up 2% at actual rate but down 5% at constant currency. Total signings were $18.8 billion, up 9% at actual rates or 2% at constant currency. Within that, total outsourcing signings were up 15% at actual rate and 8% at constant currency. And we signed 22 deals greater than $100 million. Now I'll go to the key drivers of performance in the two Services segments.In Global Technology Services, total GTS signings were up 3% at actual rates but down 4% at constant currency. GTS outsourcing signings were up 5% at actual rate, down 1% at constant currency. For the year, GTS outsourcing signings at constant currency was up 8%, with major markets at 7% and growth market, up 14%. Integrated Technology Services signings continued to be impacted by client deferrals and capital constraints. However, we have seen stability in the past two quarters in smaller transactions under $5 million.Global Technology Services revenue in the quarter was $10.1 billion, up 4% at actual rates or down 3% at constant currency. Revenue trends in outsourcing should improve in 2010 as we start to see the benefits of 2009 signings.In Integrated Technology Services, revenue performance largely reflects signings performance, which continued to be impacted by declines in OEM as we shift our portfolio to higher value offerings. Global Technology Services improved gross margins nearly a point and pretax margin 60 basis points to 15%.  For the full year, Global Technology Services gross profit margins expanded in all lines of business and total pretax margin was up three points.In Strategic Outsourcing, we have improved gross margin for five consecutive years while improving overall service delivery quality. We have accomplished this through a disciplined and innovative approach to delivery, focus on both labor and non-labor productivity actions. As you know, we've been executing a strategy to deliver services out of key Global Delivery Centers. Using consistent Global Delivery methods and processes. We're continuing to expand our capability with new centers in Dubuque, Iowa; Cairo, Egypt and Wroclaw, Poland. We are also improving labor utilization with analytics and by applying supply chain tools and techniques to our labor base.In Integrated Technology Services, we improved margin by mixing towards more profitable labor-based services. And in business transformation outsourcing, to improve the reflectivity and delivery performance.Turning to Global Business Services, signings were up 20% at actual rates and 13% at constant currency. Application Outsourcing signings were up 65% at actual rate, 55% at constant currency and for the full year, signings were up 25% at constant currency. This performance illustrates the strong value proposition that Application Outsourcing can provide our clients with compelling cost savings.Consulting and Systems Integration signings were up 3% at actual rate, down 3% at constant currency, a significant improvement over third quarter. This quarter, small deal performance improved as the quarter progressed. Journal business and Distribution sector grew, and the growth market were up 34% at constant currency.Global Business Services revenue was down 3% at actual rate, 9% at constant currency while pretax margin improved 1.1 point to 16%. This was a record level of pretax margin, driven by strong utilization in our delivery centers, good subcontract resource management and spending management.Throughout the year, this dynamic delivery model has enabled us to perform well in a tough economic climate. In this quarter, we saw some of the leverage our delivery model can provide with profit growth on lower revenue. Overall, we feel encouraged about the business as we saw improving trends in revenue, margin and signings.So our two Services segments did a good job in delivering value and managing margin in a very challenging year. We believe that our dynamic infrastructure and delivery capabilities are paying off. It's what enabled us to deliver on our profit objective of $8 billion for the year. And we are well-positioned heading into 2010, with double-digit outsourcing growth in 2009, backlog of $137 billion, improving trends in Global Business Services and a delivery structure that has enabled us to perform exceptionally well in a tough environment.Turning to Software, revenue of $6.6 billion was up 2% year-over-year, down 4% at constant currency. Key Branded Middleware grew 6% and was flat at constant currency. Branded Middleware gained share for the ninth-straight quarter, as we continued to solidify our lead in the Middleware market. In fact, it represented 63% of our Software revenue in the quarter, that's up two points year-to-year.Software pretax income was up 10% and pretax margin up 2.4 points year-to-year to 41.5%. And for the full year, we delivered 14% profit growth in Software and expanded margins by five points. Software delivered over $8 billion of pretax income, nearly tripled the profit in 2000.Now let me take you to the brands. WebSphere had another strong quarter, growing 13% or 6% at constant currency and gained share. Business Process Management, Commerce and DataPower product segments all grew double digits. ILOG which drives business rules management did very well again this quarter and contributed to WebSphere growth.Information Management Software was up 7% or 1% at constant currency and held share. Business analytics continues to be a key growth area, Cognos posted strong double-digit growth and gained share providing a proof point on analytics demand in the markets. IBM's acquisition of SPSS further strengthened our Business Analytics and Optimization strategy by delivering predictive analytics capability that help customers drive better business outcome.InfoSphere warehouse which helps our customers turn information into a strategic asset, also grew double digits. Tivoli grew 7% or 1% at constant currency and gained share. Enterprise Asset Management, which is part of IBM's Smarter Planet strategy, grew over 40% in emerging markets. Tivoli Storage continued its robust growth as customers managed their rapidly growing storage data. Data protection as well as Storage management grew double digits, with broad-based geography and sector growth.Lotus software declined 5% or 11% at constant currency. Rational declined 4% or 10% at constant currency and held share. Other software faced a difficult compare against the very strong fourth quarter of last year, we saw a continued strength in the demand for software in the growth market. Strong growth from our recent acquisition and an increase in the volume of small deal activity in North America. So all very encouraging signs. There were a number of large deals however, that did not close during the fourth quarter and have contributed to a very strong first quarter opening pipeline. And consequently, we expect Software to grow revenue double-digits at actual rates in the first quarter.Systems and Technology revenue was $5.2 billion, down 4% at actual rates and 9% at constant currency. While our revenue performance bottomed in the second quarter of 2009, the rate of year-to-year decline have sequentially improved in each of the past two quarters. We had strong growth in System x and Blades and improved performance in micro electronics. We gained share in System p, System x, Blade and both Disk and paid [ph] Storage. Gross profit margins improved year-to-year in all brands. And for Systems and Technology in total, this quarter marks the highest gross profit margin for this business since fourth quarter of 2007. Driven by improvements in our System x Server business and Converged p.And bottom line, Systems and Technology pretax profit grew 15% year-to-year in the fourth quarter.System z revenue declined 27% year-to-year. MIPS declined 19% in the fourth quarter. Over the past two years, MIPS grew 4% compounded. This is consistent with what we would expect at this point in the product cycle. Later this year, we are releasing the next generation System z. Converged System p revenue declined 14% year-to-year and gained four points of market share. This is the seventh consecutive quarter of market share gain. System p has gained share in 10 of the last 12 quarters. In the fourth quarter, our success with competitive units displacements continues, with almost 200 competitive wins totaling $200 million in the quarter. For the year, we had over 500 competitive wins, which generated sales of over $600 million.Later this quarter, we'll introduce the next generation POWER system, which will deliver two to three times the performance in the same energy envelope, so quite an announcement for this product line. System x server revenues grew 37% year-to-year, taking three points of share. This is our fourth consecutive quarter of share gain. Our improved sales model and enhanced product offerings are the key contributors to this performance. Total System x Blades grew 56% year-to-year and we expect to gain six points of share in Blades. Storage revenue grew 1% year-to-year but were down 4% at constant currency. This grew 6% in gain share. This growth was driven by strong growth in mid range and XIV. In fact we added more than 130 new customers to our XIV platform in the fourth quarter and 400 since the acquisition.Tape declined 10% but gained share again in the fourth quarter. Microelectronics OEM revenue was up 2% year-to-year. Our 300-millimeter fab is near full utilization and our 45-nanometer process output was sold out again this quarter. Systems and Technology closed out 2009 with improving year-to-year revenue dynamics, gross margin improvements in every brand and pre-tax income growth of 15% year-to-year and a margin of 15.4%, up 2.6 points year-to-year. Quite a performance for our Hardware business.Turning to our cash performance, we generated $7.2 billion of free cash flow in the quarter, down $600 million year-to-year. For the year, our free cash flow was up $800 million to $15.1 billion. This is our seventh consecutive year of free cash flow growth. The year-to-year improvement was driven by growth in net income, higher cash from sales cycle working capital and lower CapEx. This was mitigated by higher retirement-related payments. When I look at uses of cash for the year, we reduced our debt by $7.5 billion and we returned $10.3 billion to shareholders. $2.9 billion of this was through dividends and we bought back almost 69 million shares for $7.4 billion, including $3.1 billion this quarter. At the end of the year, we had $6.1 billion remaining from our last Board authorization.Turning to the balance sheet, we finished 2009 with a substantial cash balance of $14 billion. Cash is up $2.5 billion from September and $1 billion from last December. Our strong free cash flow enabled us to add to our cash balance while reducing our debt by almost $8 billion from last year. Our total debt balance is now $26.1 billion. Of this, $22.4 billion is in support of our Global Financing segment, which is leveraged at 7.1:1. So our non-financing debt was $3.7 billion, down almost $6 billion from a year ago. As a result of the debt reduction and growth in equity, our non-financing debt-to-cap is now 16%.The balance sheet remains strong and positioned to support the business over the long-term.I'll start to wrap up with a brief discussion of the drivers of our earnings-per-share performance. This quarter, revenue growth contributed to our earnings growth. Our ongoing work to improve our operating leverage resulted in gross margin expansion and expense productivity, which together contributed $0.30 of the $0.32 of EPS growth. We also had a modest benefit from share repurchases but it was offset by a higher tax rate.For the year, you can see the benefit of the shift to higher value areas and focus on driving efficiency in the spending base, as margin expansion and expense productivity by far were the largest contributors to our earnings growth. Our ongoing share repurchase program contributed another $0.34 and tax rate provided a very modest help of only $0.03.All in, we delivered EPS of $10.01, our seventh consecutive year of double-digit earnings growth. This was a great year in a tough environment. All a result of the strategic transformation of our business. We've been shifting to higher value businesses. This better positions us to meet client needs and drives a more profitable mix. In 2009, Software and Services each contributed 42% of our segment profit.We've also been globally integrating our company to improve productivity and efficiency. Our ongoing productivity initiatives have reduced our fixed cost base and improved the operational balance point, generating more profit from each dollar of revenue. With a spend base of almost $80 billion, we've got a lot of opportunity to continue to reduce structure and make our business more efficient. This operating leverage will provide a real advantage as revenue performance improves in 2010.We're using our strong profit and cash base to drive the significant investment needed to expand our base of opportunity, both organically and through acquisitions. We're positioned to capture the secular growth opportunity in the emerging markets and we're investing in areas like our Smarter Planet solution, Business Analytics and new compute models such as Cloud Computing.In addition to supporting investments and growth initiatives and acquisitions, our great cash position and strong cash flow allow us to return capital to shareholders. This year, we spent over $10 billion on share repurchases and dividends, and increased our dividend for the 14th consecutive year. Bottom line, the changes to the company have allowed us to deliver strong performance since 2002, and even over the last two years in a tough environment. But more importantly, the transformation has positioned us to come out even stronger in 2010. And as I said earlier, for the full year, we expect EPS of at least $11 for the year.Now Patricia and I will take your questions."
112350,84160236,46210,"International Business Machines Corp., Q4 2009 Earnings Call, Jan 19, 2010",2010-01-19,"Earnings Calls","International Business Machines Corporation","Executives","Thank you, Mark. Before we begin the Q&A, I'd like to remind you a couple of items. First, we have supplemental charts at the end of the deck that complements our prepared remarks. And second, I'd ask you to refrain from multi-part questions. When we conc",65,"Thank you, Mark. Before we begin the Q&A, I'd like to remind you a couple of items. First, we have supplemental charts at the end of the deck that complements our prepared remarks. And second, I'd ask you to refrain from multi-part questions. When we conclude the Q&A, I'll turn the call back to Mark for final comments. Operator, please open it up for questions."
112350,84160236,46210,"International Business Machines Corp., Q4 2009 Earnings Call, Jan 19, 2010",2010-01-19,"Earnings Calls","International Business Machines Corporation","Operator","[Operator Instructions] The first question comes from Richard Gardner with Citi.",11,"[Operator Instructions] The first question comes from Richard Gardner with Citi."
112350,84160236,46210,"International Business Machines Corp., Q4 2009 Earnings Call, Jan 19, 2010",2010-01-19,"Earnings Calls","International Business Machines Corporation","Analysts","First of all, I was hoping that you might be willing to provide either quantitatively or qualitatively some sort of waterfall to your double-digit EPS growth estimate in 2010. And then as an adjunct to that, which segments -- can you tell us which segment",61,"First of all, I was hoping that you might be willing to provide either quantitatively or qualitatively some sort of waterfall to your double-digit EPS growth estimate in 2010. And then as an adjunct to that, which segments -- can you tell us which segments have the most room for further structural margin expansion over the next two to three years?"
112350,84160236,46210,"International Business Machines Corp., Q4 2009 Earnings Call, Jan 19, 2010",2010-01-19,"Earnings Calls","International Business Machines Corporation","Executives","Let me put this in context. As we go into 2010, we should go back and look at the overall roadmap for 2010 because frankly, the progress that we anticipated making in EPS is going to be very similar to the rollout and the balance that we had in that origi",670,"Let me put this in context. As we go into 2010, we should go back and look at the overall roadmap for 2010 because frankly, the progress that we anticipated making in EPS is going to be very similar to the rollout and the balance that we had in that original roadmap. Now just to go back and review that, it had an element of our typical revenue growth, our margin expansion actions, our share repurchase actions, our investment in growth, our acquisition focus and then lastly, [indiscernible] pension. But I would contrast 2010 to 2009. In 2009, working through a recession, as much pressure as we had on the revenue line, it really required us to overweight the contribution for margin. And you saw the actions that we put together to do that when we took out $3.7 billion of spend. We achieved some very strong margin performance across our business lines, but if you look at 2010, I would contrast it. Will we still have margin expansion? Absolutely, consistent with our overall roadmap, but I don't think it's going to be overweighted to margin as it was in 2009. In 2010, it should be a more balanced performance on revenue performance at new products and a more stable economic environment. You saw that, as we described improving our growth rate from fourth quarter to first quarter, between four and five points both at constant currency and at actual rates. You'll see that ongoing focus and contribution from margin. Now let's face it, as we get to better revenue performance, that revenue could now take advantage of the improved leverage in our business, as we've been able to take on the spend out as a matter of efficiencies. In addition, we're always driving tools and content to drive that efficiency, profit proficiency, standardization, tools and analytics. And if you look at the first quarter, we'll have a gain from the sale of our PLM business, offset by a charge, predominantly in Europe and Asia for productivity actions. So those will continue to drive our margin performance. Then in addition, still very focused on share repurchase and on share repurchases, contrasted a little. Remember that we closed out last year with a fairly high core debt-to-cap at 49%. So we were relatively cautious I think, conservative during the end share purchase, [ph] Well now we enter our 2010, they're recovering those pension funds. So now, our core debt-to-cap is at a very, very conservative 16%. So share repurchase is still [indiscernible] out. You got to admit, share price is higher, we'll still have a lot of dilution at that share point price, but we'll still have good contribution from share repurchase. But I'm most interested to see the momentum that we picked up from our growth investments. Our investments at Smarter Planet and Business Analytics, and Cloud Computing and the contribution that we did from those, as well as the ongoing performance in our acquisitions, and this is on a per quarter acquisitions, performed very well, very well. So again, the way I would look at it, Richard, is that in 2010, we should see a more balanced contribution to our EPS growth from all of the elements of the overall roadmap, as opposed to 2009 where it was overweighted on margin, given the recessionary end. Now when you look at the segment that has the most room for further structural margins content, they'll all benefit from the structural actions that we're taking across the board in the corporation. And I would say, as you look at overall margin, though we have had very good growth profit margin, I'm very encouraged by the last 22 quarters, I think we have expanded the gross profit margin, 21 of those 22. We're still not in that top quartile of margin performance through the S&P 500 or the Tech Universe [ph] of the top 330 companies. So IBM should be -- our objective should be set to firmly engage in that top quartile."
112350,84160236,46210,"International Business Machines Corp., Q4 2009 Earnings Call, Jan 19, 2010",2010-01-19,"Earnings Calls","International Business Machines Corporation","Operator","The next question comes from Toni Sacconaghi with Sanford Bernstein.",10,"The next question comes from Toni Sacconaghi with Sanford Bernstein."
112350,84160236,46210,"International Business Machines Corp., Q4 2009 Earnings Call, Jan 19, 2010",2010-01-19,"Earnings Calls","International Business Machines Corporation","Analysts","Mark, this quarter, IBM grew at minus 5% at constant currency. Last quarter, you grew at minus 5% at constant currency. But the comparison was actually easier this quarter. So given what appears to be from your commentary an improving economic environment",100,"Mark, this quarter, IBM grew at minus 5% at constant currency. Last quarter, you grew at minus 5% at constant currency. But the comparison was actually easier this quarter. So given what appears to be from your commentary an improving economic environment, were you surprised you didn't see better revenue growth. And I know you called out from Software deals not closing, maybe you can dimension how significant that was in the quarter? And whether there were other reasons why maybe we didn't see better revenue growth in light of a modestly easier compare year-over-year and an improving demand environment?"
112350,84160236,46210,"International Business Machines Corp., Q4 2009 Earnings Call, Jan 19, 2010",2010-01-19,"Earnings Calls","International Business Machines Corporation","Executives","If you look at the content in our businesses, one of the trends that we saw in the fourth quarter that was quite encouraging is the performance of smaller deals. And that smaller deals across our Hardware business, our Software businesses, our Services bu",357,"If you look at the content in our businesses, one of the trends that we saw in the fourth quarter that was quite encouraging is the performance of smaller deals. And that smaller deals across our Hardware business, our Software businesses, our Services business, both in major markets and GMU, in our growth markets. Number one, smaller deals are a significant portion of our revenue stream but what we have seen in smaller deals, they've been more characteristic of a leading indicator. So as we enter the recession, those smaller deals produced a portion of the revenue more aggressively and we see them coming back, especially as it went into the end of the quarter. But what was interesting about it, it was across our business units, as well as with our major markets and growth markets. So with that stronger, small-deal performance entering the first quarter, that gives us a level of confidence.  Secondly, we did literally have a lot of large deals that were fairly well progressed in the fourth, rollover to the first quarter, especially in our Software business. That's why Software, at actual rates, we see in the kind of double digit level of performance as we go into the first quarter. And then additionally, we've seen this trend through the year in our Hardware base business, after we kind of bottomed out in the second quarter, that rose of growth rate, improved every quarter as we went from third quarter to fourth quarter and with our new announcements that we see in pSeries in the first quarter, we think that should also help improve that level of performance. So you put all those together, as well as all the work that the teams and the general management has done on their pipeline and their deals, and that's why we felt pretty confident that we should be able to improve the relative growth rate by four to five points, as we go from fourth quarter performance to first quarter performance, both at constant currency and actual rate. Then that would put us at actual rate kind of a mid-single digit level of growth."
112350,84160236,46210,"International Business Machines Corp., Q4 2009 Earnings Call, Jan 19, 2010",2010-01-19,"Earnings Calls","International Business Machines Corporation","Operator","The next question comes from Ben Reitzes with Barclays Capital.",10,"The next question comes from Ben Reitzes with Barclays Capital."
112350,84160236,46210,"International Business Machines Corp., Q4 2009 Earnings Call, Jan 19, 2010",2010-01-19,"Earnings Calls","International Business Machines Corporation","Analysts","Mark, over the last four years, you've averaged about 18% EPS growth and your guidance is basically 10% plus for the year as we enter an upturn in IT spending and economic activity. You said you have more leverage in your OpEx given things you've done and",134,"Mark, over the last four years, you've averaged about 18% EPS growth and your guidance is basically 10% plus for the year as we enter an upturn in IT spending and economic activity. You said you have more leverage in your OpEx given things you've done and you have room for a buyback and your pension expense is in line with where you said it would be. So I guess my question is, are you just being conservative or is there anything out there with the economy or anything else from the P&L that keeps you conservative? And that hedging loss, maybe year-over-year was the big number that kind of surprised me at the $430 million, maybe that's the hit in upcoming quarters? Are you being conservative? If you can just go through that?"
112350,84160236,46210,"International Business Machines Corp., Q4 2009 Earnings Call, Jan 19, 2010",2010-01-19,"Earnings Calls","International Business Machines Corporation","Executives","Well you look at it, from my perspective, sitting here in January 19, looking out for the close of the year to be a double-digit EPS growth, coming off of what's really been a seven consecutive years of double-digit EPS performance. I think that's a prett",230,"Well you look at it, from my perspective, sitting here in January 19, looking out for the close of the year to be a double-digit EPS growth, coming off of what's really been a seven consecutive years of double-digit EPS performance. I think that's a pretty strong statement. And so, to those who come off this early and peg that, I think it's pretty strong. Obviously, if the revenue performance turns out to be stronger than what we are looking at now, then we should have upside to that number. Now frankly, as we look at that, I pegged the $11, the at least $11, and I remind everybody that's an at least number, but I pegged that at least number, a kind of flat constant currency performance for the year. If it would be better than that, then we'd certainly have upside. And on that base, we do see some encouraging signs in our business but frankly, our indicators are best on that 90-day framework. So I'd like to get into the first quarter and get a little more validation that this is an ongoing recovery before we take this up further than we have. I think 10% growth, in what would be our eighth consecutive year, coming in at the very high-end of the road map that we set for 2010, I think that's a pretty strong position."
