"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
290203,711081056,2278185,"Viatris Inc., Q1 2021 Earnings Call, May 10, 2021",2021-05-10,"Earnings Calls","Viatris Inc.","Executives","Thank you, Rajiv. And I think we're a little bit over time, but we want to have time for one more question, please. Operator?",24,"Thank you, Rajiv. And I think we're a little bit over time, but we want to have time for one more question, please. Operator?"
290203,711081056,2278185,"Viatris Inc., Q1 2021 Earnings Call, May 10, 2021",2021-05-10,"Earnings Calls","Viatris Inc.","Operator","Your final question will come from the line of Gary Nachman of BMO Capital Markets.",15,"Your final question will come from the line of Gary Nachman of BMO Capital Markets."
290203,711081056,2278185,"Viatris Inc., Q1 2021 Earnings Call, May 10, 2021",2021-05-10,"Earnings Calls","Viatris Inc.","Analysts","Michael, what do you expect the pace will be securing partnerships in various regions for the Global Health Care Gateway? Are there already a lot of discussions ongoing with different parties. How long before you really start to execute on that? And in wh",117,"Michael, what do you expect the pace will be securing partnerships in various regions for the Global Health Care Gateway? Are there already a lot of discussions ongoing with different parties. How long before you really start to execute on that? And in what regions do you think would come first? And then secondly, the $1.5 billion of cost to achieve synergies, is there a chance that will come below that this year? And how much will those costs come down next year? Just want to get a sense of how everything is going on that front and the impact to cash flow, if you were conservative or if that's really the accurate assessment at this point?"
290203,711081056,2278185,"Viatris Inc., Q1 2021 Earnings Call, May 10, 2021",2021-05-10,"Earnings Calls","Viatris Inc.","Executives","Let me say, on the Global Healthcare Gateway, obviously, is a very important topic for us. We're constantly looking for opportunities that create value for patients or partners and especially for our shareholders. And we're going to always apply our disci",193,"Let me say, on the Global Healthcare Gateway, obviously, is a very important topic for us. We're constantly looking for opportunities that create value for patients or partners and especially for our shareholders. And we're going to always apply our disciplined investment criteria and very, very strictly diligence on that. So you can absolutely expect us to be very active in the space, but consistent with our capital allocation priorities. In terms of focus areas, I want to maybe highlight four. One is established brands within our therapeutic categories or established channels that we have that are synergistic to that. You've seen what we can do with the Thrombosis franchise, for example, where we take it and improve on it. Biosimilars, clearly a focus area for us. China is a focus area for us. And then anything that helps us go up the value chain with more differentiation and longer tails. We not -- we're looking for long-term sustainable kind of revenue in these areas. So that's, I would say, these are the areas that I want to focus on. And then on the $1.5 billion, Sanjeev, if you could take that question"
290203,711081056,2278185,"Viatris Inc., Q1 2021 Earnings Call, May 10, 2021",2021-05-10,"Earnings Calls","Viatris Inc.","Executives","Yes. So sure. So obviously, we're monitoring and managing the onetime spend very closely in this quarter, as I mentioned in my prepared remarks, we had $340 million. So at this point in time, where we are, I see we will be in line with our expectation of",193,"Yes. So sure. So obviously, we're monitoring and managing the onetime spend very closely in this quarter, as I mentioned in my prepared remarks, we had $340 million. So at this point in time, where we are, I see we will be in line with our expectation of $1.5 billion. Clearly, the other thing important to note is quarter-to-quarter, there's going to be variability. As I said, quarter 2, the onetime cost is going to be higher because of a lot of the tax and legal settlements that are happening in quarter 2. But overall, for the full year, we expect that to be around $1.5 billion. Going forward, again, not giving the guidance, and I think the simple way to think about this is, by the end of third year, I expect the $1.5 billion to be down significantly to the level that legacy Mylan used to be, which was I think in 2017, 2018 used to be about $500 million. So as you can see, the trajectory is going to come down significantly next year. And obviously, when we provide the 2022 guidance, we'll let you know about the exact amount."
290203,711081056,2278185,"Viatris Inc., Q1 2021 Earnings Call, May 10, 2021",2021-05-10,"Earnings Calls","Viatris Inc.","Executives","Thank you, Sanjeev. So unfortunately, we are over time, but let me just summarize. You've seen our first quarter results. They're very strong. We're very confident, proud of them, and they validate the strength of the diversified and robust business model",163,"Thank you, Sanjeev. So unfortunately, we are over time, but let me just summarize. You've seen our first quarter results. They're very strong. We're very confident, proud of them, and they validate the strength of the diversified and robust business model that we have and that differentiates us as a company. You've seen us meeting our financial commitments. We're going to continue to do that, including declaring a dividend, paying down our debt and on track to deliver on our synergies. We are reaffirming our full year 2021 guidance. And as we said, after the end of Q2, we're going to look at that again and reassess whether we would update that guidance. 
We continue to remain confident that '21 is our trough year. And we gave a definition of that. The definition is $6.2 billion in EBITDA at our floor going forward. And with that, I want to thank you for all the questions and look forward to continue discussion. Thank you."
290203,711081056,2278185,"Viatris Inc., Q1 2021 Earnings Call, May 10, 2021",2021-05-10,"Earnings Calls","Viatris Inc.","Operator","Thank you. This concludes today's Viatris First Quarter 2021 Earnings Conference Call and Webcast. Please disconnect your lines at this time, and have a wonderful day.",26,"Thank you. This concludes today's Viatris First Quarter 2021 Earnings Conference Call and Webcast. Please disconnect your lines at this time, and have a wonderful day."
290203,711081056,2278453,"Viatris Inc., Q1 2021 Earnings Call, May 10, 2021",2021-05-10,"Earnings Calls","Viatris Inc.","Operator","Good morning. My name is Laurie, and I will be your conference operator today. At this time, I would like to welcome everyone to the Viatris First Quarter 2021 Earnings Call and webcast. [Operator Instructions] I will now turn the call over to Melissa T",53,"Good morning. My name is Laurie, and I will be your conference operator today. At this time, I would like to welcome everyone to the Viatris First Quarter 2021 Earnings Call and webcast. [Operator Instructions] 
I will now turn the call over to Melissa Trombetta, Head of Global Investor Relations. Please go ahead."
290203,711081056,2278453,"Viatris Inc., Q1 2021 Earnings Call, May 10, 2021",2021-05-10,"Earnings Calls","Viatris Inc.","Executives","Thank you, Laurie. Good morning, everyone. Welcome to Viatris' First Quarter 2021 Earnings Conference Call. Joining me on this call are Viatris' Chief Executive Officer, Michael Goettler; President, Rajiv Malik; Chief Financial Officer; Sanjeev Narula, Ch",444,"Thank you, Laurie. Good morning, everyone. Welcome to Viatris' First Quarter 2021 Earnings Conference Call. Joining me on this call are Viatris' Chief Executive Officer, Michael Goettler; President, Rajiv Malik; Chief Financial Officer; Sanjeev Narula, Chief Accounting Officer and Controller, Paul Campbell; and Bill Szablewski, Head of Capital Markets. 
While some of us are in remote locations, I would ask for your patience should we encounter any technical difficulties. During today's call, we will be making forward-looking statements on a number of matters, including our financial guidance for 2021. These forward-looking statements are subject to risks and uncertainties that could cause future results or events to differ materially from today's projections. Please refer to the earnings release that we furnished to the SEC on Form 8-K earlier today for a fuller explanation of those risks and uncertainties and the limits applicable to forward-looking statements. 
We also posted supplemental slides on our website at investors.viatris.com. Viatris routinely posts information that may be important to investors on this website, and we use this website address as a means of disclosing material information to the public in a broad, nonexclusionary manner for purposes of the SEC's Regulation Care disclosure. 
We also will be referring to certain non-GAAP financial measures, including free cash flow and adjusted EBITDA. We will reference such measures in order to supplement your understanding and assessment of our first quarter 2021 financial results and financial guidance for 2021. Non-GAAP measures should not be considered a substitute for or superior to financial measures calculated in accordance with GAAP. The most directly comparable GAAP measures as well as reconciliations of the non-GAAP measures to those GAAP measures are available in our first quarter 2021 earnings release and supplemental earnings slides as well as in the Investor section. In addition, solely to supplement your understanding and assessment of our first quarter 2021 financial performance, we have provided in our earnings release and supplemental slides and will discuss during today's call certain financial measures relating to the first quarter of 2020, including combined results of legacy Mylan and the Upjohn business with indicated adjustments, which do not reflect pro forma results in accordance with ASC 805 or Article 11 of Regulation FX. 
Such measures do not reflect the effect of any purchase accounting adjustments. Let me also remind you that the information discussed during this call, except for the participants' questions, is the property of Viatris and cannot be recorded or rebroadcast without Viatris' expressed written permission. An archived copy of today's call will be available on our website and will remain available for a limited time. 
With that, I'd like to turn the call over to Michael."
290203,711081056,2278453,"Viatris Inc., Q1 2021 Earnings Call, May 10, 2021",2021-05-10,"Earnings Calls","Viatris Inc.","Executives","Thank you, Melissa, and good morning. And thanks for joining us for our first quarterly earnings call as Viatris. I'm pleased to say that we're off to a strong start with high-quality first quarter results across the board. And this strong performance com",940,"Thank you, Melissa, and good morning. And thanks for joining us for our first quarterly earnings call as Viatris. I'm pleased to say that we're off to a strong start with high-quality first quarter results across the board. And this strong performance comes at a time when the COVID-19 global pandemic continues to evolve, taking different courses across the many geographies to which Viatris operates. 
We're grateful to our colleagues around the world who continue to put patients first, ensuring stable access to needed medicines, particularly in India and parts of Latin America, where significant resurgence has impacted our teams there. The health and safety of our colleagues and their families is our highest priority, and we're supporting the continually evolving situation around the globe with urgency, with care and with compassion. 
And for our patients, we're working diligently to bring the medicines they need, including ramping up the production of antiviral medicines remdesivir in India and closely partnering with the government there to ensure access to this critical medicine. 
Back when we launched Viatris in November 2020, our vision was to build a new kind of health care company, differentiated by a global operating platform with significant scale, and commercial capabilities and expertise across science, manufacturing, legal and IP. A broad, diverse product portfolio that includes brands, complex generics and biosimilars and generics, and is agnostic to therapeutic categories, dosage forms and delivery mechanisms, and a strong R&D platform that is well positioned to deliver a broad pipeline of complex novel products, including late-stage biosimilar programs. 
Our strong first quarter results validate the success of a diversified and robust business that can absorb headwinds in any individual part of the business while seizing market opportunities where and when they present themselves. In the first quarter, we reported net sales of USD 4.4 billion, adjusted EBITDA of USD 1.6 billion and free cash flow of USD 799 million, which were above our original expectations. These results reflect the strength of our business and were also partially helped by favorable timing of some revenue and expenses and by favorable FX. 
Now let me give you some key highlights for the quarter. The strength of our business was driven by solid performance across all 4 of our commercial segments: Developed Markets, Greater China, Emerging Markets and JANZ, which is Japan, Australia and New Zealand. Excluding the effect of LOEs or loss of exclusivity of Lyrica in Japan and Celebrex in Japan, this quarter, we would have reported 3% growth on actual exchange rate basis or 2% decline on a constant currency basis as compared to the combined LOE adjusted quarter 1 2020 results. 
Lyrica Japan is our last major LOE, and we see no further significant LOEs impacting our business in the coming years. This quarter, we generated USD 163 million in new product revenue to partially offset inherent product erosion, and we're on track to achieve USD 690 million in new product revenue for the full year. We're continuing to shift to more differentiated and sustainable portfolio with strong growth in complex generics and biosimilars and growth of our recently acquired thrombosis franchise in Europe. 
Regarding our pipeline. This quarter, we received notable approvals in Europe for Insulin Aspart and bevacizumab, and we made significant progress on many key pipeline projects, which Rajiv will discuss later in more detail. With regard to the integration of our 2 legacy companies, we are pleased to say our plans are progressing smoothly. This quarter, I also have the opportunity to meet remotely with hundreds of colleagues around the world and I continue to be impressed with the talent, the passion and the engagement that we have at Viatris. We are well on our way to forming as one team and making our performance-driven, highly engaging and inclusive culture a reality. 
And for our shareholders, we're delivering on our commitments. The Viatris Board has declared an overall quarterly dividend of $0.11 a share, consistent was 25% of the midpoint of the 2021 full year free cash flow guidance. We are on track to achieve $500 million in synergies this year. We are on plan and continue to target $6.5 billion in debt repayment by 2023. And we're reporting our first quarter results with the enhanced disclosures and transparency that we previously committed to. 
We're also aware of the interest by our shareholders in the sustainability of our business and our commitment to corporate social responsibility. And sustainability is fundamental to our mission and embedded in everything we do. And I'm pleased to share that we published our inaugural sustainability report as Viatris. More details on that can be found on our website, including a deeper look at Viatris' role in the important fight against COVID-19. 
In closing, we're proud to report a very strong and high-quality first quarter. We're seeing underlying strength in our business and we are reaffirming our full year financial guidance for 2021, which incorporates the known potential headwinds and tailwinds for the remainder of the year. At the conclusion of the second quarter, we will be reassessing whether to update guidance for the full year. And while we're not giving long-term guidance at this time, we continue to feel strongly that 2021 is our trough year as defined by the midpoint of our guidance of USD 6.2 billion adjusted EBITDA. And we believe that, that $6.2 billion is a true floor of our business, not just for this year but also for future years. 
Now with that, let me turn it over to Rajiv to give you more details about our segment results, pipeline progress and restructuring and integration efforts. Rajiv?"
290203,711081056,2278453,"Viatris Inc., Q1 2021 Earnings Call, May 10, 2021",2021-05-10,"Earnings Calls","Viatris Inc.","Executives","Thank you, Michael, and good morning, everyone. I would like to say hello to our employees around the world and thank them for all of their hard work and commitment to Viatris. I would especially like to recognize my colleagues in France and India and exp",1355,"Thank you, Michael, and good morning, everyone. I would like to say hello to our employees around the world and thank them for all of their hard work and commitment to Viatris. I would especially like to recognize my colleagues in France and India and express my deepest sympathies to everyone who is enduring a very difficult situation as the pandemic resurges in the parts of the world. 
Earlier this year, we shared with you our approach to execute our '21 plan, minimizing the base business erosion, executing the new launches, and integrate and synergize. I'm very pleased to inform you that we are off to a great start. I'll be making certain comparisons to combined LOE adjusted quarter 1 2020 results on a constant currency basis, as well as comparison versus our expectations as included in our full year guidance. 
Beginning on Slide 10. Our business performed better than expectations, but was down 2% in this quarter as compared to combined LOE adjusted quarter 1 2020 results. Our brand business performed better than our expectations driven by products such as EpiPen, Amitiza, Lipitor and Viagra. Our complex generics and biosimilar business grew by 27%, largely driven by biosimilars. And our global generics business performed in line with our expectations. We delivered $163 million for the new launches and remain on track to meet our $690 million target for the year. We continue to expect normalized base business erosion of 3% to 4% for the year. 
Our developed market segment performed better than our expectations this quarter. Our brand portfolio performance was driven by higher EpiPen sales in the U.S., largely due to vaccination related buying. Yupelri, our first nebulized LAMA, performed in line with our expectations, and we are well positioned to expand this market. Our European brand business was helped by Creon, Dymista as well as our thrombosis portfolio acquired from Aspen, highlighting our ability to attractively manage our portfolio of established brands. Our complex generics and biosimilar portfolio grew by 27% in developed markets, largely driven by pegfilgrastin, trastuzumab as well as adalimumab biosimilars. 
Our generics portfolio performed in line with our expectations once adjusted for COVID surge pine in the first quarter of 2020, which accounts for half of the year-over-year decline. I would like to provide a bit more color around our U.S. generics business, which is approximately 11% of our total business now. Our current generics portfolio is now a combination of diversified product forms, including extended-release oral solids, injectables, transdermals and topicals. We implemented our disciplined approach to resource allocation and portfolio management, including the rationalization of negative margin products. 
We believe that extending this approach to our overall business will help us manage our base business more effectively. Looking ahead, we have assumed increased competition for our complex products like XULANE, Wixela, glatiramer acetate in addition to the loss of exclusivity of performance. 
Moving to the next slide. Our emerging market segment performed in line with expectations. Our business was affected by the negative impact of COVID on our lifestyle brands as well as a onetime impact of change in go-to-market strategy in Vietnam. We see our complex generics and biosimilar business growing over the year, driven by a number of new launches in multiple countries. Our Generic business was roughly flat and in line with expectations. Our JANZ segment grew 14% as we adjusted for onetime Lyrica, Celebrex LOEs. Our brand portfolio in Japan had a strong performance driven by Amitiza, Lipitor and Creon. Lyrica LOE is performing to our expectations. We also launched the first adalimumab biosimilar in Japan. Our generics business performed strongly. 
Now to Slide 14. Our Greater China segment performed strongly and grew by 9%. This was primarily driven by 30% growth of our retail channel, better than expected hospital channel performance as well as the benefits from the COVID recovery. Our retail channel now represents 40% of our China business. We have assumed the full impact of VBP for '21, as well as midyear implementation of URP in southern regions. 
As already mentioned on our guidance call, the trough of our China business will be determined by the timing of the full implementation of URP. We see continued momentum, and we look forward to investing in our pipeline in this region. Out of 25 products we identified for Greater China, we are well positioned to file 6 regulatory submissions in '21. 
Now switching to providing more details around the impact of the COVID-19. India is currently going through its worst pandemic phase, and we are doing everything possible to protect the health and safety of our employees in India. We are also working closely with the health authorities to maintain supply of remdesivir. We have a broad, diverse and resilient global manufacturing and supply chain footprint. We are not depending on any one country or a site. Even in India, our manufacturing footprint is spread over 5 different states, which mitigates the risk of disruption in any given part of the country. As Viatris, our reliance on India as a supply hub has relatively come down as compared to legacy Mylan. 
The diversity of our network helped us achieve an approximate -- approximately 95% customer service level across the globe last year. We are continuously monitoring our inventories and currently are in a strong position from a supply point of view to meet our customer needs across the globe. 
I would now like to share some key updates on our pipeline shared with you on Investor Day. I'll start with our biosimilars franchise on Slide 17. Our 351k insulin glargine for interchangeability is on track for our July FDA goal date. Our insulin aspart is also tracking towards its FDA goal date in July and is expected to include interchangeability. We are making steady progress for our biosimilar to BOTOX and recently submitted our briefing package to FDA for agreement on Phase III. 
We have just received top line results for our clinical Phase III study for our biosimilar to EYLEA and are pleased to report that we have met the primary endpoint for this study. We received European approval for the biosimilar to Avastin and insulin aspart. While we no longer have any open scientific questions with FDA, our U.S. approval of biosimilar to Avestin has been impacted by the delay in a pre-approval inspection due to COVID travel restrictions. 
The next slide shows our complex product pipeline. For our Glatiramer acetate once monthly, we have dosed more than 900 patients and are on track for our submission at the end of 2022. We also achieved positive results in Phase II trial for meloxicam, which was designed as a proof-of-concept study for a quicker onset of acute pain relief as an alternative to opioids. We are excited that we have advanced a new low-dose formulation of XULANE, which we formerly call MR100. We are expecting this product to be one of the smallest low-dose patches in its class and our Phase III clinical trial has been initiated. 
The next slide shows our continued progress in our complex injectable pipeline. Our octreotide MR injection clinical study is well underway to support our U.S. submission. Clinical study for EU TRINZA are on track for quarter 2 2021. We are also in the process of initiating clinical studies for amphotericin B, previously called MR118. 
I'll finish with an update on our integration and restructuring program. As you can see on Slide 21, we remain on track to realize $500 million of cost synergies this year. Our workforce actions are well underway, including a recently announced voluntary retirement program in Japan, which is on schedule. As we announced earlier this year, the rationalization of 13 manufacturing sites have been identified and closure or divestiture equities are in process. We are working very closely with regulators and our customers to avoid any supply disruptions and are building appropriate safety stocks. 
With all of these actions underway, we remain confident that we will exceed our target of $1 billion in cumulative cost savings by 2023. Let me now turn the call over to Sanjeev. Thank you."
290203,711081056,2278453,"Viatris Inc., Q1 2021 Earnings Call, May 10, 2021",2021-05-10,"Earnings Calls","Viatris Inc.","Executives","Thank you, and good morning, everyone. As Michael and Rajiv mentioned, we're off to a strong start, and I'll walk you through the key drivers and how we see certain trends shaping up for the rest of the year. As you will see in coming slides, I'll make",885,"Thank you, and good morning, everyone. As Michael and Rajiv mentioned, we're off to a strong start, and I'll walk you through the key drivers and how we see certain trends shaping up for the rest of the year. 
As you will see in coming slides, I'll make comparison to prior year Mylan stand-alone combined adjusted as well as our 2021 expectations. On Slide 23, we have summarized our results versus prior year on a reported basis, which reflects Mylan's stand-alone results for quarter 1 2020. Adjusted gross margin and adjusted EBITDA benefited from contributions of Amgen branded products and the strength of China, which was driven by stable sales in hospital business and retail growth, including COVID recovery. In total, these factors led to a significant increase in financial strength, including profitability and cash flow generation. 
Moving to Slide 24. I have highlighted the drivers in the quarter compared to combined adjusted Q1 2020 results. As a reminder, this chart reflects the sum of Mylan's stand-alone results and Upjohn [ Combined ] Financial for a period of January 1, 2020, to March 31, 2020, adjusted for certain transaction-related items, including divested products in connection with combination. A few key comments on this chart. Beginning with LOEs. As Rajiv mentioned, Generic penetration is tracking in line with our expectation and year-on-year Lyrica and Celebrex in Japan are down by $206 million. 
COVID continues to negatively impact our business as a result of lower volumes across many of key markets, particularly Europe, where we saw pre-COVID surge buying last year and to a lesser extent, in the U.S. In China, we saw favorable impact due to COVID recovery. While we're still anticipating a gradual recovery beginning in the second half, the recovery is likely to be slower across some emerging markets. Base business erosion was driven by normal price erosion and volume declines in U.S., Europe and Emerging Market. And for rest of the year, we still forecast erosion of about 3% to 4%. 
We're off to a good start with new products. Revenue was primarily driven by European Thrombosis business, which grew versus prior year, an additional uptick of complex generic and biosimilars. Lastly, with respect to foreign exchange, it's important to remember, approximately 70% of our business is outside the U.S. In the quarter, the weaker dollars relative to key currencies such as euro, Chinese RMB provided approximately 5% tailwind compared to our combined adjusted 2020 revenue results. 
Moving forward, if rate remains at the current level, we expect a continued tailwind from foreign exchange consistent with full year guidance, though not to the level realized in quarter 1. Moving to Slide 25, which bridges adjusted EBITDA. The year-on-year margin is declining because of item listed on the bridge. As you will recall from our 2021 financial guidance bridge, we were impacted by lower depreciation and amortization associated with Pfizer TSA, which negatively impacts EBITDA. 
Turning to Slide 26. Free cash flow came in above our expectations, driven by strong operating performance, benefits from working capital improvement initiatives, and timing of onetime cost and CapEx. For the quarter, onetime cash costs were approximately $340 million, primarily related to integration cost in TSA startup. For quarter 2, we expect both to increase over Q1 levels. 
With respect to cash flow phasing. We expect Q2 cash flow to be significantly reduced versus Q1 and expect it to be our lowest for the year. The decline is driven by expected increase in onetime cash cost, interest payments, which occur semiannually in Q2 and Q4 and increasing capital expenditures. 
Turning to our balance sheet. Strong cash flow allowed us to pay down approximately $1 billion in short-term debt. We anticipate that Q2 short-term debt will increase as a result of June maturity of $2.25 billion final payment of European Thrombosis business and the quarterly dividend. From a capital deployment standpoint, we declared our first quarterly dividend, which is consistent with our guidance framework. We do not expect the $0.11 per share amount to change for subsequent quarters in 2021, but all future dividend declarations are subject to approval. Overall, we remain on track with our 2021 free cash flow guidance of $2 billion to $2.3 billion. 
Moving to Slide 28. As you heard from Michael earlier, we are reaffirming our full year 2021 guidance ranges based on a strong start we saw in Q1, balanced by expected headwinds for the remainder of the year. In terms of revenue phasing, we expect Q2 2021 to be roughly in line with Q1 2021 due to modest recovery from COVID in Europe, continued strong performance in China, offset by expected negative impact of LOEs, competition and more normalized EpiPen sales. 
Going forward, these items will pressure our gross margin to be more in line with our guidance range. As we look out to Q2, we expect SG&A to be in line with Q1 on an absolute basis. On a full year basis, we expect SG&A to be within our previously indicated range of 20.5% to 21.5%. Given these dynamics, it is likely that Q1 will be highest adjusted EBITDA quarter. Overall, I'm really pleased with the execution in this quarter and the commitment we delivered against, including the initiation of dividend. 
With that, let me open the call to Q&A. Operator?"
290203,711081056,2278453,"Viatris Inc., Q1 2021 Earnings Call, May 10, 2021",2021-05-10,"Earnings Calls","Viatris Inc.","Operator","[Operator Instructions] Our first question comes from line of Elliot Wilbur of Raymond James.",14,"[Operator Instructions] Our first question comes from line of Elliot Wilbur of Raymond James."
290203,711081056,2278453,"Viatris Inc., Q1 2021 Earnings Call, May 10, 2021",2021-05-10,"Earnings Calls","Viatris Inc.","Analysts","First question will be for Sanjeev. Could you just maybe talk a little bit more in detail about some of the working capital initiatives that you've undertaken? How they impacted first quarter results, and then maybe just a little bit of color commentary o",128,"First question will be for Sanjeev. Could you just maybe talk a little bit more in detail about some of the working capital initiatives that you've undertaken? How they impacted first quarter results, and then maybe just a little bit of color commentary on how working capital trends performed in the quarter versus your expectation. And just a quick clarification. You highlight $315 million in restructuring costs in the deck. And I think the guidance was originally for $450 million for the full year. Just want to make sure that the remaining cash flow drag related to restructuring is only $135 million for the balance of the year. I'm not sure if there's other items that I should be thinking about, but just some clarification on that item."
290203,711081056,2278453,"Viatris Inc., Q1 2021 Earnings Call, May 10, 2021",2021-05-10,"Earnings Calls","Viatris Inc.","Executives","Elliot, thank you for your question. So there are a couple of questions in that. So let me take them one by one. So first off, we're very pleased with the cash flow generation in the business. Specifically talking about net working capital, there are 2 th",399,"Elliot, thank you for your question. So there are a couple of questions in that. So let me take them one by one. So first off, we're very pleased with the cash flow generation in the business. Specifically talking about net working capital, there are 2 things going on. One is on the positive side, which is the initiative we're taking as a company when you bring 2 companies together, managing our receivables, our payables and inventory. So that created an upside of roughly about $65 million in this quarter, and that's going to continue to be -- we continue to build on that. So that's clearly a positive. On other side, on the net working capital from operations, we did little bit have a timing benefit. We were able to accelerate certain collections in Europe in this quarter, which actually helped us and will have an impact on the second quarter. But overall, we're very pleased and I expect the net working capital improvement initiative to continue to help us for the rest of the year. 
Coming to the kind of phasing, as I mentioned about on the cash flow. Second quarter, as I said, would be significantly lower. Our net working capital requirement for second quarter will go up, Elliot, because a couple of things going on, particularly about our debt -- interest and debt, it's about $200 million we'll be paying in second quarter, which is only paid in second and fourth quarter. So there is a quarter-to-quarter variation that is happening, but we are very pleased with that. 
With regard to your second question about $350 million. As we have in our disclosures, it's a combination of 2 items. One is the restructuring, which is related to the unabsorbed overhead of the 13 plants that we've got announced, including Morgantown. And then the second part of that is about the severance. That's, across the board, based on the initiative that we've taken on the synergy part. So that's in line with our expectation. And then the comment that you made about $400 million, that was on the onetime cost as part of the $1.5 billion. So all in line, what you see in this quarter is in line with $1.5 billion and then it's a combination of 2 items, which is the severance cost and the restructuring cost, which is all part of $1.5 billion."
290203,711081056,2278453,"Viatris Inc., Q1 2021 Earnings Call, May 10, 2021",2021-05-10,"Earnings Calls","Viatris Inc.","Executives","And if I can just add one thing, Elliot. The $350 million is expense, not cash. So when we're talking about the cash impact of the restructuring, that phases over time. The charge in the quarter of -- from an expense perspective is the $300 million number",50,"And if I can just add one thing, Elliot. The $350 million is expense, not cash. So when we're talking about the cash impact of the restructuring, that phases over time. The charge in the quarter of -- from an expense perspective is the $300 million number you're referring to."
290203,711081056,2278453,"Viatris Inc., Q1 2021 Earnings Call, May 10, 2021",2021-05-10,"Earnings Calls","Viatris Inc.","Operator","Our next question comes from the line of Umer Raffat of Evercore.",12,"Our next question comes from the line of Umer Raffat of Evercore."
290203,711081056,2278453,"Viatris Inc., Q1 2021 Earnings Call, May 10, 2021",2021-05-10,"Earnings Calls","Viatris Inc.","Analysts","I just wanted to start by saying this has to be the first time I've seen this level of visibility into your product revenue, so appreciate that very much. I had 2 quick ones, if I may. First, the China Retail business is up 30% year-over-year. And I'm jus",148,"I just wanted to start by saying this has to be the first time I've seen this level of visibility into your product revenue, so appreciate that very much. I had 2 quick ones, if I may. First, the China Retail business is up 30% year-over-year. And I'm just trying to understand, is that all cash pay or could payer -- if there's payers involved, could they find a way to come back and add in some new price corrections down the road? Just trying to figure out how durable the trends are in Lipitor and Norvasc is really what I'm getting at. 
And one for Rajiv as well. Rajiv, on BOTOX biosimilar, I saw that you guys are submitting a briefing package. Does that mean that you've adequately validated and characterized and figured out all the process scale-up? Is all of that done at this point?"
290203,711081056,2278453,"Viatris Inc., Q1 2021 Earnings Call, May 10, 2021",2021-05-10,"Earnings Calls","Viatris Inc.","Executives","All right, let me thank you for your comment on the transparency. That's exactly what we tried to do, and we continue to take feedback on that. And Rajiv, if you could answer both the China and the BOTOX questions.",40,"All right, let me thank you for your comment on the transparency. That's exactly what we tried to do, and we continue to take feedback on that. And Rajiv, if you could answer both the China and the BOTOX questions."
290203,711081056,2278453,"Viatris Inc., Q1 2021 Earnings Call, May 10, 2021",2021-05-10,"Earnings Calls","Viatris Inc.","Executives","Yes. Umer, thank you. First of all, we are very pleased with our performance in China. As you see, Retail continues to grow strength to strength. We also see the better-than-expected management of our hospital business. So there are 2 things interplaying",200,"Yes. Umer, thank you. First of all, we are very pleased with our performance in China. As you see, Retail continues to grow strength to strength. We also see the better-than-expected management of our hospital business. So there are 2 things interplaying into this. Now to your specific question. Predominantly, retail is cash base. But there's a little bit of employer-based sort of health care -- when you have their health care support. That's a little bit of still where the payers are involved. I can give you exactly what percentage is of that, but it's predominantly the cash base. 
Now second question on the BOTOX. Our program is moving on. Very well aligned with our partner, Revance. We had laid out -- we had gone and met FDA a couple of times. We understand their expectations. We have come to a point where we're just seeking the agreement on basically both the biosimilarity as well as the clinical program. So we have enough data now to go back and share with them before we move on. So we are at a critical stage of this. And I see -- I'm very optimistic about this program as we go along."
290203,711081056,2278453,"Viatris Inc., Q1 2021 Earnings Call, May 10, 2021",2021-05-10,"Earnings Calls","Viatris Inc.","Operator","Your next question comes from the line of Nathan Rich of Goldman Sachs.",13,"Your next question comes from the line of Nathan Rich of Goldman Sachs."
290203,711081056,2278453,"Viatris Inc., Q1 2021 Earnings Call, May 10, 2021",2021-05-10,"Earnings Calls","Viatris Inc.","Analysts","I had 2 on the competitive dynamics and how they're playing out relative to your expectations. First, it looks like on the sales walk, the base business erosion of $111 million in the quarter. That's running kind of well below, I think, the range that you",145,"I had 2 on the competitive dynamics and how they're playing out relative to your expectations. First, it looks like on the sales walk, the base business erosion of $111 million in the quarter. That's running kind of well below, I think, the range that you anticipated for the year. I know that the impact may build over the course of the year, but I'd be curious just to get your comments on how that flows through the P&L. And then the second question was related to the Lyrica headwind. It looks like $206 million in the quarter that, I think, if we annualize that would be above the range that you gave at the -- back at the Analyst Day. I know it includes Celebrex now. So any additional color you could provide there in terms of what you're seeing would be helpful."
290203,711081056,2278453,"Viatris Inc., Q1 2021 Earnings Call, May 10, 2021",2021-05-10,"Earnings Calls","Viatris Inc.","Executives","Sure. Thank you, Nathan. I think I'm going to give those questions to Rajiv. And Rajiv, I think, Lyrica and Japan specifically.",22,"Sure. Thank you, Nathan. I think I'm going to give those questions to Rajiv. And Rajiv, I think, Lyrica and Japan specifically."
