"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
269924,322165590,926839,"EQT Corporation, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","EQT Corporation","Executives","Thanks, Pat, and good morning, everyone. As you read in the press release this morning, EQT announced 2015 adjusted earnings of $0.75 per diluted share compared to $3.43 per diluted share in 2014. A high-level story for the year as well as for the fourth",834,"Thanks, Pat, and good morning, everyone. As you read in the press release this morning, EQT announced 2015 adjusted earnings of $0.75 per diluted share compared to $3.43 per diluted share in 2014. A high-level story for the year as well as for the fourth quarter was very strong volume growth in a lower commodity price environment. Notably, production volumes were 27% higher than last year, and midstream gathering volumes were up by 28%. Due to the lower commodity prices, adjusted EQT earnings, adjusted EPS and adjusted operating cash flow attributable to EQT for 2015 were all down versus 2014 by any measure, although results in both years were impacted by some unusual items that should be considered when interpreting and comparing the results year-over-year. Adjusted operating cash flow attributable to EQT was $964.3 million in '15 compared to $1,424,000,000 in 2014. And I refer you to our non-GAAP reconciliations in today's release for more details. 
Results in the fourth quarter were similarly down. Fourth quarter 2015 adjusted net loss was $0.06 per diluted share. That compares to adjusted EPS of $0.97 in the fourth quarter of '14. Adjusted operating cash flow attributable to EQT was $233.9 million in the fourth quarter compared to $390 million for the fourth quarter of 2014. Production sales volume was 13% higher than the fourth quarter of '14. We also realized 12% higher gathering volumes than last year and continued low per unit operating cost. 
In the fourth quarter, we recorded a negative tax adjustment of $79.5 million to reserve certain state income tax net operating loss carryforwards that may not be utilized in a low commodity price environment. This had the impact of increasing the effective tax rate for the year. Netting up the effects of this NOL carryforward adjustment in the fourth quarter as well as the regulatory asset tax adjustment in the second quarter would have resulted in an effective tax rate for the year of closer to 15%. Although subject to many factors, including commodity prices, transactions, et cetera, we think a range of 10% to 15% is a reasonable effective tax rate range for year 2016 modeling purposes. 
Now moving onto a brief discussion of results by business segment. I will limit my discussion to the full year results as the explanations for the full year, for the most part, apply to the fourth quarter as well. 
So starting with EQT Production. EQT Production achieved record production sales volume of 603.1 Bcf equivalent for 2015, again representing a 27% increase over 2014. As has been the case for many years now, the story in 2015 at EQT Production was the growth in sales of produced natural gas driven by sales from our Marcellus wells. 2015 was our sixth great year of more than 25% sales volume growth. However, lower average realized prices more than offset the increased sales of produced natural gas in our financial results. 
The EQT average realized price was $2.67 per Mcf equivalent for '15, and that was $1.49 or 36% lower per unit than last year. For segment reporting purposes, of that $2.67 realized by EQT Corporation, $1.74 was allocated to EQT Production with the remaining $0.93 allocated to EQT Midstream. The majority of the $0.93 is for gathering, which averaged $0.74 per Mcf equivalent for the year. 
For the full year, total operating expenses at EQT Production were $1,251,600,000, excluding asset impairment charges and onetime drilling costs or 19% higher year-over-year. DD&A, SG&A and LOE were all higher, again consistent with the significant production growth, although production taxes were lower for the year as a result of lower prices. Per unit LOE, including production taxes, was 25% lower year-over-year, as volume increased more than expenses. 
Moving on to the midstream result. Operating income here was up 23% year-over-year, mainly as a result of increased gathering and transmission revenues, partly offset by increased operating expenses. Gathering revenues also increased by almost 27% year-over-year as a result of higher gathered volumes in 2015. Total operating expenses at midstream were $318.8 million or $41.2 million higher than 2014, excluding an impairment and the exploration of some right-of-way options. This increase was consistent with the growth of the midstream business. 
And then finally, our standard liquidity update. We closed the year in a great liquidity position, with 0 net short-term debt outstanding under EQT's $1.5 billion unsecured revolver and about $1.25 billion of cash on the balance sheet, and that excludes cash on hand at EQM and EQGP. We currently forecast $600 million to $650 million of operating cash flow for 2016 at EQT, which includes approximately $150 million of distributions to EQT from EQGP. So we are fully capable of funding our roughly $1 billion 2016 CapEx forecast, excluding EQM and EQGP with that expected operating cash flow as well as the current cash on hand. 
With that, I'll turn the call over to Steve for an update on the Utica program as well as some thoughts on today's reserve release."
269924,322165590,926839,"EQT Corporation, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","EQT Corporation","Executives","Thanks, Phil. As Phil just said, today, I'd like to review 2 topics: The 2015 reserve report and an update on our deep Utica program. Starting with the Utica. As you know, we turned in line our first deep Utica well, the Scotts Run 591360, in July of 20",1052,"Thanks, Phil. As Phil just said, today, I'd like to review 2 topics: The 2015 reserve report and an update on our deep Utica program. 
Starting with the Utica. As you know, we turned in line our first deep Utica well, the Scotts Run 591360, in July of 2015. The well continues to produce at a consistent 30 million cubic feet per well with a steady pressure decline. The well is exceeding our previous forecast, and we now expect this well to flow at 30 million cubic feet a day until mid-April before it begin its production decline. As a result, we've revised the range of our EUR estimate to between 5.1 and 5.9 Bcfe per thousand foot of lateral. As a reminder, this well has a completed lateral length of 3,221 feet. And to date, this well has produced 5.8 Bcf. 
Our second well, the padded 593066 was completed at the very end of December. This well has a 5,200-foot lateral and was completed with a 29-stage frac job. After initial cleanup and the 24-hour flow test at 43 million cubic feet per day, we shut the well in for an extended reservoir pressure test and to install the permanent production facilities. On January 29, we bought the well online at a choke-restricted rate of 20 million cubic feet per day with a floating casing pressure of 8,700 psi. The initial results from the padded well appeared to be in line with other deep Utica wells in the area and are consistent with our expectations of the Utica across our core focus area. 
In addition to the 2 producing wells, we spud another 2 Utica wells. The Big 190 well in Wetzel County, West Virginia has been drilled to TD, and we are now in the process of completing the 35-stage frac job. It has a 6,300-foot lateral and has an expected turn in-line date in late February or early March. 
Our fourth well, the Shipment well in Greene County, Pennsylvania is currently being top set with a planned lateral length of 7,000 feet. On the cost side for the Utica, we've been able to achieve significant savings on each of our wells and are ahead of our schedule to meet our target of $12.5 million to $14 million per well. Savings have been realized in all phases of the development cycle with the most significant savings coming from improved drilling efficiency. Adjusting for lateral length, the padded well cost $17.3 million, and the Big 190 cost $15.4 million. On a cost-per-foot basis, we've successfully lowered our costs from $9,600 per foot for the Scotts Run well to $2,800 per foot for Big 190. As a reminder, we have 2 objectives for our 2016 Utica program: One, get the cost per well down to our target range, which we expect to achieve on our currently drilling shipment well; and two, confirm the productivity of the reservoir within our core Utica focus areas in Southwestern PA and Northern West Virginia. If we can accomplish both objectives, we expect that Utica returns in the core area will be competitive with or better than the core Marcellus, and we will work on a plan to include Utica in our future development plans. We will update you on our progress each quarter. 
Moving on to the reserves report. As you saw in our press release this morning, we announced total proved reserves of 10 Tcfe, with 6.3 Tcfe of these reserves associated with wells that have already been developed. This proved developed reserves totals 30% higher than year-end 2014 and includes 2.1 Tcfe of increases. Within that 2.1 Tcfe increase is 386 Bcfe improved developed reserves from wells that were unproved in 2014, but were ultimately drilled and completed in 2015. This is consistent with the company's history of continuing to expand its footprint and develop areas that we believe to be economic, even when they do not meet the SEC's definition of proved reserves. 
Also contributing to our increased proved developed reserves is over 300 Bcfe from producing wells that are outperforming our previous forecast. Additionally, we converted 1.5 Tcfe or 25% of our 2014 PUD reserves into the proved developed category. We also cut our 5-year PUD development plan in half, which is consistent with our reduced activity in 2016. Both of these factors contributed to a 37% decrease in PUD reserves. 
Looking at just our Marcellus reserves. The average proved location considering both developed and undeveloped is 700 feet longer and has an EUR that is 1.4 Bcfe greater than the average proved Marcellus location booked in 2014. These statistics demonstrate consistently strong well performance as well as EQT's ability to continue leveraging our acreage position within our core development area, allowing us to drill longer laterals. In fact, our PUD reserves reflect 337 Bcfe of increases that is directly related to lenth extensions of previously booked undeveloped locations. These length extensions not only boost the economics and reserves of previously booked locations, but also allowed us to book 703 Bcfe of new PUD locations that were previously too short to be considered economic PUDs. To further offset the effect of low pricing, EQT continue to improve our efficiency and drive development cost lower. The development cost of wells completed in 2015 was $0.83 per Mcfe versus $1.15 per Mcfe for wells completed in 2014. This 27% reduction was driven by longer laterals, [indiscernible] drilling and completion efficiency and significant reductions in service costs, particularly on the frac side. 
Our current estimate of total resource potential is 78 Tcfe, which now includes 25 Tcfe attributed to the core of our deep Utica play. Also within that 78 Tcfe of resource potential are our probable and possible reserves. As noted in this morning's release, using the SEC's required trailing 12-month pricing methodology resulted in total probable and possible reserves of 14.6 Tcfe. If you look at forward-looking prices, which are more representative of our development assumptions, our probable and possible reserves would total 35 Tcfe. Neither of those probable and possible totals includes any deep Utica reserves as we are relegating that play to other resource potential for now with the exception of the 24 Bcf of proved reserves from our 2 producing wells. 
With that, I'll turn the call over to Dave."
269924,322165590,926839,"EQT Corporation, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","EQT Corporation","Executives","Thank you, Steve. This morning, I would like to review our financial situation and philosophy when establishing our 2016 CapEx budget announced in December, as this is our first call since that time. As Phil mentioned, we ended 2015 with well over $1 bill",1146,"Thank you, Steve. This morning, I would like to review our financial situation and philosophy when establishing our 2016 CapEx budget announced in December, as this is our first call since that time. As Phil mentioned, we ended 2015 with well over $1 billion in cash and with nothing drawn in our $1.5 billion unsecured revolver. In that context and given that we have other potential sources of cash such as another midstream drop, we were comfortable with the CapEx estimate that was moderately higher than our operating cash flow estimate for 2016. However, we do not have any plans to significantly erode that strong liquidity position as we believe that our current conservative financial approach is appropriate for today's environment. The rest of my remarks will elaborate on that view. 
First, we're have been looking to add to our core acreage position for the past year, but have not yet transacted, as sellers have not fully accepted the valuation impact of low commodity prices. Ironically, even if sellers' expectations did begin coming more into line with current market realities, we narrowed our geographic focus to possibilities that have real consolidation benefits within the core of the core as we have referred to it. As the market continues to evolve, it seems to us reasonably likely that there will be some actual transactions in the first half of 2016. However, given our tighter focus as well as some other attributes to the current market, smaller asset transactions seem more likely than larger or whole company deals. 
Speaking of the market, let's shift to our view of the natural gas supply-demand market. You may recall that I do consider rig count to be a reasonable, if rough, leading indicator of natural gas production, though some adjustments need to be made to glean any meaning from the published data. For instance, there's a longer lead time between spuds and marketable production than there used to be. Rigs are more efficient than they used to be, especially because of longer laterals and also improved completion techniques, and more natural gas production comes from drilling that the data associates with crude oil-focused activity. As an example of the latter issue that is associated to gas, when using the published Baker Hughes data, we believe it's best to look at gas equivalent rig count. And admittedly, simplistic adjustment to try to account for this associated gas involves assuming that each oil rig behaves more as if it is 3/4 oil and 1/4 gas, that the gas equivalent rig count equals gas-directed rigs plus 0.25x oil-directed rigs. The gas equivalent rig count calculated that way was essentially flat at 700 to 800 from mid-2012 through the end of 2014, so for about 2.5 years. The gas equivalent rig count then declined by about 45% by the spring of 2015, at which point it plateaued at about 380 until last summer and then again declined gradually by another 10% or so. Then starting in late autumn, the gas equivalent rig count declined an additional 25%-plus, reaching 246 last week. I recognize that only 121 of those are natural gas rigs. As an aside, that 121 compares to a high in Pennsylvania alone of about 117 rigs not that many years ago. So this 246 is nearly 2/3 below the last rig count of 2014 and 35% lower than it was just in August of last year. This sharp downturn in activity suggests lower future natural gas production. The question in my opinion is, when. That is, how long is that lag? At EQT, where we drill multi-well pads and long lateral wells, the lag from wells spud to turn in line or till is 9 to 12 months. Other drillers may have some shorter or longer lags, but they all have material lags. The existence of so-called ducks, that is drilled, but uncompleted wells, obviously lengthens the time lag between spud and till. Also improved efficiencies can mean that one rig today is equivalent to 1-plus rigs of a year ago, but this is only true for some efficiencies such as longer laterals. Efficiencies such as reduced cost spacing, which also tend to accelerate production, can affect the rate volume relationship somewhat over time, but mainly improve economics and, therefore, reduce the economic clearing price, at which supply equals demand. My point is to try to predict the exact timing of the production decline, but rather that this decline will occur, and it is best if we position ourselves to quickly respond to a higher gas price when the time is appropriate. We believe that a strong balance sheet does this. Based on my expectations of declining supply, I am reasonably bullish on natural gas prices once we have worked off with the current inventory surplus, as the current activity level is insufficient to meet demand over time. That said, increased efficiencies and a tighter focus on the core of the core have certainly decreased the clearing price for natural gas perhaps to the mid-$3 per Mcf range down from our previous expectations of around $4. I do expect that the price will go past that clearing price to the upside eventually, as we have seen in the past, as the lags that have delayed the production decline emanating from reduced activity will also delay an increase in supply from a future increased activity. Given the industry leaning cost structure of our core Marcellus acreage and potentially the Utica, EQT can make excellent returns at mid-$3 gas. Still, just as we think it is important to be well positioned when the market overshoots to the downside, we will want to be similarly well positioned when the market eventually overshoots to the high side, even though that high side overshoot won't involve prices nearly as high as they were even a few short years ago. 
In times of financial stress for our industry, we think the prudent approach is to be conservative financially. Whatever happens over the course of the rest of this year and into next year from a commodity price perspective, we believe that having a strong balance sheet and available cash will put EQT in a position of strategic advantage. This is certainly true if my macro thesis is correct. However, if the alternative theses are prices that are much lower from much longer is correct, having a strong balance sheet and available cash will also put EQT in a position of strategic advantage. From what we can see, there's no reasonably likely thesis under which our shareholders would be well served by us surrendering those advantages. 
So in summary, EQT is committed to increasing the value of your shares, and we look forward to continuing to execute on our commitment to our shareholders, and we appreciate your continued support. 
With that, I'll turn the call back over to Pat Kane."
269924,322165590,926839,"EQT Corporation, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","EQT Corporation","Executives","Thank you, David. This concludes the comments portion of the call. Will you please open the call for questions.",19,"Thank you, David. This concludes the comments portion of the call. Will you please open the call for questions."
269924,322165590,926839,"EQT Corporation, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","EQT Corporation","Operator","[Operator Instructions] We'll take our first question from Scott Hanold with Royal Bank of Canada  Capital Markets.",17,"[Operator Instructions] We'll take our first question from Scott Hanold with Royal Bank of Canada  Capital Markets."
269924,322165590,926839,"EQT Corporation, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","EQT Corporation","Analysts","So Steve, if I could ask you on the deep Utica. Obviously, the first well is a little better than you expected, and if you read the Math, I think you guys are projecting somewhere around 18 Bcfe EUR. And just so I understand this right, and then the total",76,"So Steve, if I could ask you on the deep Utica. Obviously, the first well is a little better than you expected, and if you read the Math, I think you guys are projecting somewhere around 18 Bcfe EUR. And just so I understand this right, and then the total bookings for the 2 would be 24, so does that imply the second well is -- the expectations around 6 Bcf? Is that the correct Math?"
269924,322165590,926839,"EQT Corporation, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","EQT Corporation","Executives","Well, I would -- I think there's 2 adjustments you need to make. One -- keep in mind trying to use the SEC reserve number to back in to EUR estimates. One, those are reserves, not EURs, so anything produced prior to December 31 is not in there. That's fai",185,"Well, I would -- I think there's 2 adjustments you need to make. One -- keep in mind trying to use the SEC reserve number to back in to EUR estimates. One, those are reserves, not EURs, so anything produced prior to December 31 is not in there. That's fairly minor for the padded well. But it's also using the SEC definitions. So reasonable certainty, we have 2 producing wells. The padded well had almost no production data. So our reserve projections in that case tend to be pretty much on the conservative side. So I'm not sure the SEC numbers for the Utica wells really reflect very accurately our view. And we think it's too early to really comment on our view of the EUR for the second well. But I would say that it's consistent with our expectations of the Utica. It's very, very early, but probably not quite as good as the Scotts Run. I think the Scotts Run well will likely stand out for quite a while as an exceptional well and one that's definitely above the mean for the Utica."
269924,322165590,926839,"EQT Corporation, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","EQT Corporation","Analysts","So can I ask you this question? What was, I guess, from what you've seen in the Scotts Run versus the padded, what made the Scotts Run that much better?",30,"So can I ask you this question? What was, I guess, from what you've seen in the Scotts Run versus the padded, what made the Scotts Run that much better?"
269924,322165590,926839,"EQT Corporation, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","EQT Corporation","Executives","I don't think we know at this -- at the current time. We're doing a lot of reservoir testing and studying it pretty closely, and I don't think we have any firm conclusions. Again, we have some limited data points. We have 2 data points now. And the second",211,"I don't think we know at this -- at the current time. We're doing a lot of reservoir testing and studying it pretty closely, and I don't think we have any firm conclusions. Again, we have some limited data points. We have 2 data points now. And the second data point has such a limited history that I think it's premature to speculate too much about the reservoir just yet. Other than just say, I think -- one thing we've proven is, with the Scotts Run, clearly, there's going to be some areas of the Utica that are exceptionally good. And with the cost that we've already achieved, the economics of those types of locations will be superior to probably any of the Marcellus opportunities that we have. But we need to define where those -- the areas are, how big they are, how repeatable they are. And Then you're going to have lots of areas that it's going to depend a lot on completion techniques and the final cost of these wells to see how it compares to the Marcellus. I think that's going to take us some time and quite a few more wells to really define, but there's certainly going to be some areas that are exceptional."
269924,322165590,926839,"EQT Corporation, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","EQT Corporation","Analysts","Okay. So would I be correct in saying that, and I realize it's only respect to the fact that we've got limited data especially on that second well. But certainly, you guys are still trying to evaluate whether or not this deep Utica opportunity can compete",87,"Okay. So would I be correct in saying that, and I realize it's only respect to the fact that we've got limited data especially on that second well. But certainly, you guys are still trying to evaluate whether or not this deep Utica opportunity can compete with some of your better Marcellus areas. I mean, obviously, Scotts Run, you gave your indications that it has a good chance. But I guess, the second well, is it sort of put you a little bit on the sidelines yet?"
269924,322165590,926839,"EQT Corporation, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","EQT Corporation","Executives","Well, I think -- I mean -- I think you can't oversimplify the process that we need to go through. It's a brand-new play, very limited data, potentially over a fairly broad area. And I would say, our expectations always have been that there will be some ar",175,"Well, I think -- I mean -- I think you can't oversimplify the process that we need to go through. It's a brand-new play, very limited data, potentially over a fairly broad area. And I would say, our expectations always have been that there will be some areas that are really, really good. And I think the Scotts Run clearly demonstrates that. There's going to be some areas that take more time to figure out exactly how good they are and exactly how they stack up to the Marcellus. And there's clearly going to be areas that you could drill Utica wells -- very productive Utica wells, but it don't compete economically. I mean, the Utica is huge, covers a very large area. So there's going to be areas of exceptional performance and economics, areas of competitive with the core Marcellus. And remember, that's our hurdle is, comparing it to the best of our Marcellus opportunities. And there's going to be areas where it falls short. It's going to take some time to define that."
269924,322165590,926839,"EQT Corporation, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","EQT Corporation","Operator","We will take our next question from Drew Venker from Morgan Stanley.",12,"We will take our next question from Drew Venker from Morgan Stanley."
269924,322165590,926839,"EQT Corporation, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","EQT Corporation","Analysts","I was hoping you can provide a little more color on the well cost targets. It sounds like it's not really a change at this point, but you made some really good progress so far on getting down to 12.5 to 14. Can you tell us what your latest thinking is?",51,"I was hoping you can provide a little more color on the well cost targets. It sounds like it's not really a change at this point, but you made some really good progress so far on getting down to 12.5 to 14. Can you tell us what your latest thinking is?"
269924,322165590,926839,"EQT Corporation, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","EQT Corporation","Executives","Yes, I think we haven't change the targets, but I'm feeling pretty comfortable that our next well will be within that range. We saw a long way to go on it, so anything could happen, but it's looking pretty good. I'm becoming much more optimistic that we w",147,"Yes, I think we haven't change the targets, but I'm feeling pretty comfortable that our next well will be within that range. We saw a long way to go on it, so anything could happen, but it's looking pretty good. I'm becoming much more optimistic that we will be ultimately at the bottom part of that range rather than the top part. It's just a little early for us to revise that range. We wanted to get in it for a well or 2 before we start updating it. But I think our confidence in the lower part of the range goes up everyday. There are still quite a few areas for improvement, and that's -- I guess, that's why I'm so optimistic. We're going to be within that range and can identify numerous opportunities for future improvements. So we'll keep you up-to-date on how we're doing."
269924,322165590,926839,"EQT Corporation, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","EQT Corporation","Analysts","And as far as -- at this time, it's so early, but as far as the different parts of the play, do you expect well cost to be materially different between West Virginia and Pennsylvania, once you get into -- let's say when to get closer to those well targets",50,"And as far as -- at this time, it's so early, but as far as the different parts of the play, do you expect well cost to be materially different between West Virginia and Pennsylvania, once you get into -- let's say when to get closer to those well targets?"
269924,322165590,926839,"EQT Corporation, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","EQT Corporation","Executives","I think, well -- the biggest driver will be depth. Across most of our acreage, the depth doesn't change a lot, so for us, it probably won't vary that much. There are some regulatory differences between Pennsylvania and West Virginia, particularly around c",79,"I think, well -- the biggest driver will be depth. Across most of our acreage, the depth doesn't change a lot, so for us, it probably won't vary that much. There are some regulatory differences between Pennsylvania and West Virginia, particularly around casing and cementing designs. But it'll vary a little bit by state, although again not that much. I think cost variability should be pretty low other than depth and, of course, lateral length and number of stages."
269924,322165590,926839,"EQT Corporation, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","EQT Corporation","Analysts","Okay. And lastly, I'm just wondering if you can give us some color on where you plan to drill those next few wells, and if you could give a little bit more detail on where that -- I guess, the well that is competing right now, where that one is too.",51,"Okay. And lastly, I'm just wondering if you can give us some color on where you plan to drill those next few wells, and if you could give a little bit more detail on where that -- I guess, the well that is competing right now, where that one is too."
269924,322165590,926839,"EQT Corporation, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","EQT Corporation","Executives","Yes, the shipment well is also in Greene County. I don't remember the distance from the other 2, but in the same general vicinity. And the West Virginia wells will be very dependent on the results we see from the Big 190 well, which we -- again, we're 2/3",78,"Yes, the shipment well is also in Greene County. I don't remember the distance from the other 2, but in the same general vicinity. And the West Virginia wells will be very dependent on the results we see from the Big 190 well, which we -- again, we're 2/3 of the way down fracking. So we should have results late February or early March, which will influence our thinking about sort of where the program goes after that."
269924,322165590,926839,"EQT Corporation, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","EQT Corporation","Analysts","Okay. And do you have an AFB for that shipment mode? Or is it true really for that?",18,"Okay. And do you have an AFB for that shipment mode? Or is it true really for that?"
269924,322165590,926839,"EQT Corporation, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","EQT Corporation","Executives","Well, again, I think we are going to -- I think we'll be within the range on our actual cost, but we just started drilling a well, so it's premature. But I -- the high end of that range is where I expect that well to come in.",48,"Well, again, I think we are going to -- I think we'll be within the range on our actual cost, but we just started drilling a well, so it's premature. But I -- the high end of that range is where I expect that well to come in."
269924,322165590,926839,"EQT Corporation, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","EQT Corporation","Operator","And we'll take our next question from Arun Jayaram with JP Morgan.",13,"And we'll take our next question from Arun Jayaram with JP Morgan."
269924,322165590,926839,"EQT Corporation, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","EQT Corporation","Analysts","So just to clarify your comments, you're saying based on your initial results in the deep Utica, it's kind of matching your expectations. And you think based on the limited data that you have, if you can get well cost into that range that it could compete",78,"So just to clarify your comments, you're saying based on your initial results in the deep Utica, it's kind of matching your expectations. And you think based on the limited data that you have, if you can get well cost into that range that it could compete with your Marcellus program? Obviously, a lot more drilling and completing the deal [ph], but just wanted to get your initial read on how the program initially competes with the Marcellus?"
269924,322165590,926839,"EQT Corporation, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","EQT Corporation","Executives","Yes. I think our thinking all along is if we can get within that range and get the results that we were hoping to get, there will be areas of the Utica that are competitive with our very best Marcellus. And I think clearly, the Scotts Run, which I would r",135,"Yes. I think our thinking all along is if we can get within that range and get the results that we were hoping to get, there will be areas of the Utica that are competitive with our very best Marcellus. And I think clearly, the Scotts Run, which I would repeat, we don't expect the Scotts Run result to be the norm. So that's not when we factor in, what we think the Utica is going to do. We're assuming something a little less productive than the Scotts Run, but yes, I think it -- our view is that if we can get within that cost range and have the productivity that we think we can get, there'll be areas that are competitive and probably some areas that will outcompete some of our best Marcellus."
269924,322165590,926839,"EQT Corporation, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","EQT Corporation","Analysts","Got you. Got you. And just the overall objective of this year's appraisal program, which could be 5 to 10 wells?",21,"Got you. Got you. And just the overall objective of this year's appraisal program, which could be 5 to 10 wells?"
269924,322165590,926839,"EQT Corporation, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","EQT Corporation","Executives","Well, yes. As I said in my comments, we had -- we have 2 objectives. The first one and going into the year are -- was our primary focus was to get the cost down. Since we started at around $30 million a well. We were certain that cost in that range were n",235,"Well, yes. As I said in my comments, we had -- we have 2 objectives. The first one and going into the year are -- was our primary focus was to get the cost down. Since we started at around $30 million a well. We were certain that cost in that range were never going to yield an economic project. We've gotten those cost down quite a bit faster than I had expected. So that was our primary objective, but I think we were almost there. We can't quite declare victory yet, but we are getting very, very close. And the second objective was to understand the productivity and the extent within the core of that productivity of the Utica, and that's why we have to drill a 5- to 10-well program this year and get various data points. And as we all know, early in new plays, there is always a lot of improvement even on the completion side. You have to get up the learning curve. So we'll make some mistakes. We'll have some -- obviously, we'll have some fantastic wells. We'll probably have some underperforming wells, as we experiment with different techniques. And we have to gather that data and analyze it, and it's a lengthy process. So we're going to spend the year gathering data and studying it. And as we become comfortable with the implications, we'll communicate that to you."
269924,322165590,926839,"EQT Corporation, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","EQT Corporation","Analysts","Okay. And my final question is looking at the core Marcellus program, in 2015, you drilled about 160 Marcellus wells with an average lateral length of 5,400 feet this year. Obviously, you're doing much longer laterals, plan to do 72 wells. Can you comment",82,"Okay. And my final question is looking at the core Marcellus program, in 2015, you drilled about 160 Marcellus wells with an average lateral length of 5,400 feet this year. Obviously, you're doing much longer laterals, plan to do 72 wells. Can you comment on what you're seeing in terms of well productivity for the longer laterals? Are you seeing similar EURs per thousand foot of lateral and just maybe comment on the potential for well productivity gains in '16 versus '15?"
269924,322165590,926839,"EQT Corporation, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","EQT Corporation","Executives","Yes. Our experience has been that the productivity versus lateral length is perfectly linear, at least out to 10,000 feet. We've seen no dropoff in productivity per foot as we've drilled longer, which is why we think for a long time -- the longer, the bet",115,"Yes. Our experience has been that the productivity versus lateral length is perfectly linear, at least out to 10,000 feet. We've seen no dropoff in productivity per foot as we've drilled longer, which is why we think for a long time -- the longer, the better. So we work really hard in our land department to put together drilling locations with the longest possible lateral. So you've seen our laterals get longer especially this year. A lot of that's driven by all the land work that goes on behind the scenes to make that happen. It hasn't been a change in our thinking about the economics of longer laterals. We've always believed longer is better."
269924,322165590,926839,"EQT Corporation, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","EQT Corporation","Operator","We'll take our next question from Michael Hall with Heikkinen Energy Advisors.",13,"We'll take our next question from Michael Hall with Heikkinen Energy Advisors."
269924,322165590,926839,"EQT Corporation, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","EQT Corporation","Analysts","I guess I just wanted to talk a little bit about the big picture and outlook around production. David, you walked through your views around the market and the big lags that you can see around laying down rigs and slowing down activity relative to producti",111,"I guess I just wanted to talk a little bit about the big picture and outlook around production. David, you walked through your views around the market and the big lags that you can see around laying down rigs and slowing down activity relative to production and highlighted the 9- to 12-month lag that you guys typically see. In that context, with the reduced well count in '16 versus '15, how are you thinking about growth potential in '17, fully understanding it's premature to quantify, but just kind of high level? What are the key factors within the '16 program driving the -- our expectations around the year out from here?"
