"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
300504,322060402,921536,"Rockwell Automation Inc., Q1 2016 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","Rockwell Automation, Inc.","Executives","I didn't catch the first part of the question.",10,"I didn't catch the first part of the question."
300504,322060402,921536,"Rockwell Automation Inc., Q1 2016 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","Rockwell Automation, Inc.","Analysts","Yes. Are you seeing anything mix related on MRO or anything else that could be driving -- keeping margins higher than expected, at least on our end.",27,"Yes. Are you seeing anything mix related on MRO or anything else that could be driving -- keeping margins higher than expected, at least on our end."
300504,322060402,921536,"Rockwell Automation Inc., Q1 2016 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","Rockwell Automation, Inc.","Executives","I think on the -- generally, but particularly on the additional 1 point of organic growth that we're dropping out, the extra $60 million, we think that is weighted toward our U.S. business and weighted more toward our product businesses. And so as you kno",90,"I think on the -- generally, but particularly on the additional 1 point of organic growth that we're dropping out, the extra $60 million, we think that is weighted toward our U.S. business and weighted more toward our product businesses. And so as you know in the U.S. is our largest install base. It's where we have the most MRO business, and so you know there is some, amongst unfavorable margin impact, in a relative sense, of having that coming out of the U.S. and coming out of product business."
300504,322060402,921536,"Rockwell Automation Inc., Q1 2016 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","Rockwell Automation, Inc.","Executives","And that's correlated with the significant reduction in IP in the U.S. that recently came out. So that slowdown will impact the MRO business as Ted outlined.",28,"And that's correlated with the significant reduction in IP in the U.S. that recently came out. So that slowdown will impact the MRO business as Ted outlined."
300504,322060402,921536,"Rockwell Automation Inc., Q1 2016 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","Rockwell Automation, Inc.","Executives","And that's reflected in our guidance change.",8,"And that's reflected in our guidance change."
300504,322060402,921536,"Rockwell Automation Inc., Q1 2016 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","Rockwell Automation, Inc.","Operator","Your next question comes from Jeremy Capron, CLSA.",8,"Your next question comes from Jeremy Capron, CLSA."
300504,322060402,921536,"Rockwell Automation Inc., Q1 2016 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","Rockwell Automation, Inc.","Analysts","So I want to stay on the discussion around cost. Could you tell us a little bit more about where you're taking cost actions? I see you've lowered the corporate expense guide for the year by about $5 million. But more generally speaking, I know you've talk",90,"So I want to stay on the discussion around cost. Could you tell us a little bit more about where you're taking cost actions? I see you've lowered the corporate expense guide for the year by about $5 million. But more generally speaking, I know you've talked about being positioned or being more -- having more flexibility on the cost side of the equation this time around relative to the previous cycles. So tell us about where you're taking cost actions and how you see cost unfold through the year?"
300504,322060402,921536,"Rockwell Automation Inc., Q1 2016 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","Rockwell Automation, Inc.","Executives","So Jeremy, I think you will remember, in Q4 we took about, I think it was $12 million of restructuring charges, so that we could start to get ahead of getting cost out, recognizing that fiscal '16 was likely to be a more difficult year, okay? At the curre",145,"So Jeremy, I think you will remember, in Q4 we took about, I think it was $12 million of restructuring charges, so that we could start to get ahead of getting cost out, recognizing that fiscal '16 was likely to be a more difficult year, okay? At the current time and including the revised guidance, we're implementing what I would called sensible expense controls that are consistent with the revised guidance and given a slow and uncertain economic environment. But we are not calling this the beginning of a recession. We expect business levels to remain reasonably stable from this point out into the balance of the year, and consequently, we're not planning additional major restructuring actions at this time. If things get worse, we may have to go there, but we think our cost base is reasonably well-structured at the current guidance sales levels."
300504,322060402,921536,"Rockwell Automation Inc., Q1 2016 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","Rockwell Automation, Inc.","Analysts","Okay. And Mexico, I know we've talked about for several quarters now. But you're talking about broad-based strength, including oil and gas. What sort of visibility do you have in Mexico? Are we talking about -- you know, I was trying for the next year or",57,"Okay. And Mexico, I know we've talked about for several quarters now. But you're talking about broad-based strength, including oil and gas. What sort of visibility do you have in Mexico? Are we talking about -- you know, I was trying for the next year or so? Is that a much near-term strength that you're expecting there?"
300504,322060402,921536,"Rockwell Automation Inc., Q1 2016 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","Rockwell Automation, Inc.","Executives","Well, our visibility in Mexico, given that a portion of this is our solutions and services business, we think our outlook at this point is for the remainder of the fiscal year, and feel that the economy there at this point continues to grow, and more impo",92,"Well, our visibility in Mexico, given that a portion of this is our solutions and services business, we think our outlook at this point is for the remainder of the fiscal year, and feel that the economy there at this point continues to grow, and more importantly, our ability to support our customers and the demands continue to improve as well. In particular, our channel partners are very strong and it's probably the strongest distributor network that we have in an emerging market. So we feel very good about the capabilities there."
300504,322060402,921536,"Rockwell Automation Inc., Q1 2016 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","Rockwell Automation, Inc.","Operator","Your next question comes from Steven Winoker from Bernstein.",9,"Your next question comes from Steven Winoker from Bernstein."
300504,322060402,921536,"Rockwell Automation Inc., Q1 2016 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","Rockwell Automation, Inc.","Analysts","Ted, sorry to push a little bit on this, but you know you say you're not calling for recession right now. I guess, with -- in your second quarter of organic decline and forecasting, what now is, at least the next maybe 1, 2 or 3, so we're now looking at a",163,"Ted, sorry to push a little bit on this, but you know you say you're not calling for recession right now. I guess, with -- in your second quarter of organic decline and forecasting, what now is, at least the next maybe 1, 2 or 3, so we're now looking at a good year of decline. What do you need to see inside the business to call it a recession? Does that really matter any way in terms of what you call it, relative to expense declines? Is it more, just that you've say, ""Look, we've got -- we have R&D programs where we want to have them. We think we can -- willing to hold out for a year, because we're going to have another share gain opportunity on the back of this like we did before."" And just how should we kind of think about it, from an investor standpoint, relative to kind of the negative growth that we're looking at?"
300504,322060402,921536,"Rockwell Automation Inc., Q1 2016 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","Rockwell Automation, Inc.","Executives","I think you captured a lot of what I would've said in my answer to where you started. I think basically what I'm trying to say is, look, given an expectation that sales are going to be 1 point lower now than we previously thought and given that we had alr",112,"I think you captured a lot of what I would've said in my answer to where you started. I think basically what I'm trying to say is, look, given an expectation that sales are going to be 1 point lower now than we previously thought and given that we had already implemented restructuring actions in Q4, we will take some steps now to sensibly control expense. And I expect our year end -- our full year spending now is going to be a little bit lower than we previously talked about. But we don't see the need based on that 1 point reduction in organic growth to take major restructuring actions."
300504,322060402,921536,"Rockwell Automation Inc., Q1 2016 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","Rockwell Automation, Inc.","Executives","And I think the point you also made in your comment or question, I should say, is relevant as well, and that is, we do see the opportunities to come out of this stronger. And certainly as an intellectual capital business, it is about people, and we think",145,"And I think the point you also made in your comment or question, I should say, is relevant as well, and that is, we do see the opportunities to come out of this stronger. And certainly as an intellectual capital business, it is about people, and we think we have some great investment opportunities that we discussed during the Investor Day at Automation Fair, and we think those are important to continue to keep that investment level, given that we feel we're in a stable economic environment to Ted's point. So we do want to keep that in place. And our goal is to come out stronger and gain share just like we did in the previous recoveries. And so I would say that's the other piece of the equation, and that's the balance that we constantly evaluate and make trade-offs and ultimate decisions on."
300504,322060402,921536,"Rockwell Automation Inc., Q1 2016 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","Rockwell Automation, Inc.","Executives","Given the uncertainty right now, it wouldn't be prudent not to have contingency plans, but -- and we'll go there if we need to, but we don't think that's necessary at this time.",33,"Given the uncertainty right now, it wouldn't be prudent not to have contingency plans, but -- and we'll go there if we need to, but we don't think that's necessary at this time."
300504,322060402,921536,"Rockwell Automation Inc., Q1 2016 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","Rockwell Automation, Inc.","Analysts","And Keith, just on this whole question of growth. We often talk about the secular versus cyclical dynamics, and it's really hard sometimes in the outside to figure out whether those secular growth dynamics are buffering, what would otherwise be a much wor",71,"And Keith, just on this whole question of growth. We often talk about the secular versus cyclical dynamics, and it's really hard sometimes in the outside to figure out whether those secular growth dynamics are buffering, what would otherwise be a much worse cycle on the growth. I mean, are you seeing evidence that says, ""Hey, look, our secular growth dynamics are still in place. We still feel confident about these?"""
300504,322060402,921536,"Rockwell Automation Inc., Q1 2016 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","Rockwell Automation, Inc.","Executives","Absolutely. We see that based upon the conversations we have with customers. There is no question, and these are global discussions, everybody -- the customers understand that they need to continue to drive productivity and sustainability and their compet",171,"Absolutely. We see that based upon the conversations we have with customers. There is no question, and these are global discussions, everybody -- the customers understand that they need to continue to drive productivity and sustainability and their competitive. 
[Audio Gap] 
just on my recent trips to Europe and to Asia. So I think the secular story is absolutely in play. If anything, I believe it's stronger today than a couple of years ago when we started on this journey. So it's real in this area. It moves a little bit around that trend based upon the current economic environment, but I think the underlying secular trend here is in play. We'll continue to become even more important as time unfolds. So that's why we have such a positive outlook for the long term, and that's part of the reasons why we need to keep investing during this period because we do see the demand for what we're doing as something that is not going to disappear from a cyclical standpoint."
300504,322060402,921536,"Rockwell Automation Inc., Q1 2016 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","Rockwell Automation, Inc.","Analysts","Okay. And just one clarification. Quickly on the quarter, last guidance, I think we had talked or you guys had talked about kind of down mid-single-digit  expectation for the quarter. Even though it was down 3, it was better. What again was better than wh",51,"Okay. And just one clarification. Quickly on the quarter, last guidance, I think we had talked or you guys had talked about kind of down mid-single-digit  expectation for the quarter. Even though it was down 3, it was better. What again was better than what you had previously thought might happen?"
300504,322060402,921536,"Rockwell Automation Inc., Q1 2016 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","Rockwell Automation, Inc.","Executives","Yes, so I would say one of the places we were better than we thought was the U.S. And in the U.S., it was primarily around our product business. And some of that was about backlog reduction at the end of the quarter. The underlying orders were down about",61,"Yes, so I would say one of the places we were better than we thought was the U.S. And in the U.S., it was primarily around our product business. And some of that was about backlog reduction at the end of the quarter. The underlying orders were down about what we expected in the U.S., but shipments were a bit better."
300504,322060402,921536,"Rockwell Automation Inc., Q1 2016 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","Rockwell Automation, Inc.","Operator","Your next question comes from Andrew Obin of Bank of America.",11,"Your next question comes from Andrew Obin of Bank of America."
300504,322060402,921536,"Rockwell Automation Inc., Q1 2016 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","Rockwell Automation, Inc.","Analysts","Just a follow-up question on the FX impact, and we were sort of talking about CP&S being having a global supply chain. As I look at my notes, Monterrey is the biggest manufacturing facility you have in the world, I think, by far. My note says something li",87,"Just a follow-up question on the FX impact, and we were sort of talking about CP&S being having a global supply chain. As I look at my notes, Monterrey is the biggest manufacturing facility you have in the world, I think, by far. My note says something like 20% of your manufacturing capacity globally is there. Mexican peso is down 20%, I think, in the past year. How does it impact your profitability? How do you book the transaction effect in your P&L from that facility?"
300504,322060402,921536,"Rockwell Automation Inc., Q1 2016 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","Rockwell Automation, Inc.","Executives","Andrew, I may have to defer this one. There's some time you can spend on the phone with Patrick. But basically I would say, we hedge our peso exposure, so that helps offset some of the decline in the Mexican peso. Also, part of our manufacturing activity",61,"Andrew, I may have to defer this one. There's some time you can spend on the phone with Patrick. But basically I would say, we hedge our peso exposure, so that helps offset some of the decline in the Mexican peso. Also, part of our manufacturing activity in Mexico is U.S. dollar-based, so we don't really have an exposure on it."
300504,322060402,921536,"Rockwell Automation Inc., Q1 2016 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","Rockwell Automation, Inc.","Analysts","Got you. Okay, we can take it offline. That's -- and in Europe, can you just provide more color? What are you seeing in Europe, Northern Europe versus Southern Europe? Any particular trends that you're seeing, because you highlighted it as the better mark",46,"Got you. Okay, we can take it offline. That's -- and in Europe, can you just provide more color? What are you seeing in Europe, Northern Europe versus Southern Europe? Any particular trends that you're seeing, because you highlighted it as the better market for you?"
300504,322060402,921536,"Rockwell Automation Inc., Q1 2016 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","Rockwell Automation, Inc.","Executives","Yes, the biggest increase last quarter was in emerging Europe, and that would be the Middle East and Eastern Europe. But within Western Europe, the strength came more from Italy and the Southern Europe, Italy and France, as opposed to the Northern. Northe",93,"Yes, the biggest increase last quarter was in emerging Europe, and that would be the Middle East and Eastern Europe. But within Western Europe, the strength came more from Italy and the Southern Europe, Italy and France, as opposed to the Northern. Northern had been where the strength was previously. We're now seeing it move a little bit to some of the other countries in the South that were not as fortunate earlier in the period. So that's how Europe played out. 
Okay. That concludes today's call. Thank you all for joining us."
300504,322060402,921536,"Rockwell Automation Inc., Q1 2016 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","Rockwell Automation, Inc.","Operator","That concludes today's conference call. At this time, you may disconnect. Thank you.",14,"That concludes today's conference call. At this time, you may disconnect. Thank you."
300504,322060402,921673,"Rockwell Automation Inc., Q1 2016 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","Rockwell Automation, Inc.","Operator","Thank you for holding, and welcome to Rockwell Automation's Quarterly Conference call. I need to remind everyone that today's conference call is being recorded. [Operator Instructions] At this time, I would like to turn the call over to Patrick Goris, V",50,"Thank you for holding, and welcome to Rockwell Automation's Quarterly Conference call. I need to remind everyone that today's conference call is being recorded. [Operator Instructions] 
At this time, I would like to turn the call over to Patrick Goris, Vice President of Investor Relations. Mr. Goris, please go ahead."
300504,322060402,921673,"Rockwell Automation Inc., Q1 2016 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","Rockwell Automation, Inc.","Executives","Good morning, and thank you for joining us for Rockwell Automation's First Quarter Fiscal '16 Earnings Release Conference Call. With me today are Keith Nosbusch, our Chairman and CEO; and Ted Crandall, our CFO. Our agenda includes opening remarks by Kei",227,"Good morning, and thank you for joining us for Rockwell Automation's First Quarter Fiscal '16 Earnings Release Conference Call. 
With me today are Keith Nosbusch, our Chairman and CEO; and Ted Crandall, our CFO. Our agenda includes opening remarks by Keith on the company's performance in the first quarter. Keith will also provide context around our outlook for fiscal '16. Then Ted will provide more details on the results as well as our sales and adjusted earnings per share guidance. As always, we'll take questions at the end of Ted's remarks. We expect the call to take about an hour today. 
Our results were released this morning, and the press release and charts have been posted to our website at www.rockwellautomation.com. Both the press release and charts include reconciliations to non-GAAP measures, and a webcast of this call is accessible at that website and will be available for replay for the next 30 days. 
Before we get started, I need to remind you that our comments will include statements related to the expected future results of our company and are, therefore, forward-looking statements. Our actual results may differ materially from our forecasted projections due to a wide range of risks and uncertainties that are described in our earnings release and detailed in all of our SEC filings. 
So with that, I'll hand the call over to Keith."
300504,322060402,921673,"Rockwell Automation Inc., Q1 2016 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","Rockwell Automation, Inc.","Executives","Thanks, Patrick, and good morning, everyone. Thank you for joining us on the call today. I'll start with some key points for the quarter, so please turn to Page 3 in the slide deck. As expected, we had a weak start to the fiscal year with organic sales",892,"Thanks, Patrick, and good morning, everyone. Thank you for joining us on the call today. I'll start with some key points for the quarter, so please turn to Page 3 in the slide deck. 
As expected, we had a weak start to the fiscal year with organic sales down a little over 3%. During the quarter, heavy industry and markets continued to soften globally, particularly oil and gas. Consumer and auto verticals were about flat. In the U.S., the weakness that started at the end of fiscal 2015 persisted throughout the first quarter and was broad based across verticals. Oil and gas again was the weakest vertical in the U.S., with sales down over 30% compared to last year, worse than we expected. In China, solid growth in the consumer and auto verticals was more than offset by the very weak heavy industry and tire verticals. Sales in China declined about 10% in the quarter. 
I am pleased with our continued solid growth in EMEA and Latin America. Emerging EMEA and Mexico continue to be bright spots. Total emerging markets were up 3% in the quarter despite the decline in China. Further weakening of heavy industry and markets globally impacted our Process business, which was down 14% in the quarter. Process growth in EMEA and Latin America was more than offset by declines in the U.S. and Asia. Logix sales were impacted by the significant decline in process industries, including oil and gas, and declined 6% in the quarter. You may recall that Logix growth was 7% in the same quarter 1 year ago, so certainly a tough comp. And I am pleased that we were able to hold segment margin near 21% despite 9% lower sales. Ted will elaborate more on Q1 financial performance in his remarks. 
Let's move on to what we expect for the balance of fiscal 2016. With respect to the macroeconomic indicators, the most recent industrial production forecast called for lower economic growth in 2016 than previously estimated, and only modest sequential improvement later in the fiscal year. Also, since we provided guidance in November, oil and commodity prices have further deteriorated. As a result, we expect our global heavy industry end markets, particularly oil and gas, to be weaker than assumed in our November guidance. For the U.S., our largest market, industrial production growth projections have now turned negative for our fiscal year and a further strengthening of the U.S. dollar continues to affect U.S.-based producers and equipment builders across verticals. In China, we expect continued weakness in the heavy industry and tire verticals that remain plate with overcapacity and a lack of capital investments. The consumer, Life Sciences and Auto verticals are still not large enough to offset those declines, but they continue to grow, which bodes well for the future. 
In EMEA, we see continued growth led by emerging countries. Western Europe is stable and continues to improve slowly. Home and personal care is expected to be the strongest vertical in this region, oil and gas the weakest. 
Finally, we believe Latin America again will be our strongest region this fiscal year, led by Mexico. Mexico continues to do exceptionally well across a broad range of industries, including oil and gas. We expect strength in Mexico will offset weakness elsewhere in the region. 
Taking all these factors into consideration, we now expect fiscal 2016 organic sales to be down 1% to 5% and no longer expect year-over-year growth later in the fiscal year. Including the effects of a larger headwind from currency, we are updating fiscal 2016 sales guidance to about $5.9 billion and EPS guidance to $5.70 to $6.20. Ted will provide more detail around sales and earnings guidance in his remarks. 
Before I turn it over to Ted, I would like to again thank the many of you who attended Automation Fair in November. We had record attendance, and I'm sure you were able to know this firsthand, the excitement generated by our technology innovations, our expanding product portfolio, including our next-generation, high-performing architecture and our broader and deeper domain expertise. The connected enterprise message and deliverables are resonating with our customers globally. And our progress has not gone unnoticed. Control Magazine, a leading process industry publication, just released its annual Reader's Choice Awards, and once again, our results were great. Of the 53 opportunities across 10 industries and 6 control disciplines, Rockwell Automation received 32 1st Place awards. The next best recipient had only 12. We continue to be recognized as the only automation company with a scalable and multi-disciplined integrated control and information architecture for plant-wide optimization. This was our best performance yet in this annual survey of process automation professionals. And it is a good indicator of how far we have come with our modern DCS portfolio of technology and domain expertise. Innovation truly is the lifeblood of our sustainable, competitive differentiation. 
And while current market conditions certainly are challenging, we will appropriately balance short-term financial performance with our long-term opportunities. We will protect key investments in innovation, domain expertise and commercial resources, and will continue to expand our served market and gain share. I'm very optimistic on our long-term growth prospects and would like to thank our employees, partners and suppliers for their continued dedication in serving our customers. 
With that, let me turn it over to Ted."
300504,322060402,921673,"Rockwell Automation Inc., Q1 2016 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","Rockwell Automation, Inc.","Executives","Okay, thanks, Keith. Good morning, everybody. I'll start on Page 4, the first quarter key financial information. Sales in the quarter were $1,427,000,000 and that was 9.4% lower than Q1 last year. On an organic basis, sales declined 3.3%, and currency t",1192,"Okay, thanks, Keith. Good morning, everybody. I'll start on Page 4, the first quarter key financial information. 
Sales in the quarter were $1,427,000,000 and that was 9.4% lower than Q1 last year. On an organic basis, sales declined 3.3%, and currency translation reduced sales in the quarter by 6.1%. Segment operating margin was 20.7%, and that was down 130 basis points from Q1 last year and primarily due to the lower sales volume and a negative impact from currency. General corporate-net was $18 million in Q1 compared to $23 million a year ago. Adjusted earnings per share were $1.49, down $0.15 or 9% compared to the first quarter of last year. The adjusted effective tax rate in the quarter was 22.8% compared to 26% in Q1 last year. Congress recently enacted a retroactive extension of the R&D tax credit for 2015 and made the credit permanent going forward. Without that extension, our adjusted effective tax rate in Q1 would have been pretty close to our previous full year tax rate guidance of 27%.  Free cash flow for Q1 was $145 million. Free cash flow conversion on adjusted income was 74%, and we would think of that as a pretty typical result for Q1. Our trailing 4 quarter return on invested capital was 32.6%, and there are a couple of items not shown here. Average diluted shares outstanding in the quarter were $132.6 million, down about 3% compared to last year. And during the first quarter, we repurchased 1.2 million shares at a cost of $122 million. At the end of the quarter, we had $323 million remaining under our share repurchase authorization. 
The next 2 slides present the sales and operating margin performance of each segment. Page 5 is the Architecture & Software segment. Beginning on the left side of the chart. Architecture & Software segment sales were $643 million in Q1, down 9.2% compared to Q1 last year. The organic sales decline was 2.7%, and currency translation reduced sales by 6.5%. 
Moving to the right side of the chart. On the lower sales volume, A&S margins were 27.4%, down 3.9 points from Q1 last year. Lower sales volume had a significant impact. This segment also bears the larger brunt of the negative currency conversion impact. I would note that Q1 last year was the highest quarterly margin for Architecture & Software. Sequentially compared to Q4, margin in this segment was about flat. 
Moving to Page 6, the Control Products & Solutions segment. In the first quarter, Control Products & Solutions sales were $784 million, down 9.6% year-over-year and down 3.8% on an organic basis. Currency translation reduced sales by 5.8%. For the CP&S product businesses, the organic sales decline was about 1%. Solutions and services sales were down about 6% organically. The book-to-bill in Q1 for solutions and services was 1.13. CP&S continued to deliver very good operating margin at 15.3% in Q1, up 80 basis points year-over-year. Despite the decline in sales, another good productivity quarter. 
Page 7 provides a geographic breakdown of our sales and shows the year-over-year organic growth results for the quarter. The overall organic sales decline in Q1 was driven primarily by the U.S. and Asia Pacific. The U.S. was down 6%, which was actually a little better than we expected. We saw declines in most verticals, and oil and gas was worse than expected, as Keith mentioned. Canada was down 8%. We saw reasonable growth in the quarter in transportation, and food and beverage but not enough to make up for continued declines in heavy industry led by mining, and oil and gas. EMEA saw 6% organic growth in Q1. Results across countries were mixed but with higher rates of growth in the emerging markets. That said, we did experience low single-digit growth in the mature countries of EMEA, and market conditions there seem to be modestly improving. 
Asia Pacific was down 11% year-over-year, with China down about the same. We saw declines in most countries across the region. India was an exception with growth in the low-double digits. Latin America grew 8% led by Mexico. The growth in Mexico was pretty broad across verticals. Overall for emerging markets, organic growth was about 3%, with Latin America and the EMEA region offsetting declines in Asia Pacific. 
And that takes us to the guidance slide. As Keith mentioned, we're making some changes to guidance. We're dropping reported sales across the range by 2%, approximately 1 point to reflect the more significant headwind from currency and an additional 1 point reduction to reflect the more cautious outlook for organic growth, particularly on the second half of the fiscal year. The lower organic growth assumption is due to 3 factors. Since we last provided guidance, macro indicators related to the industrial economy globally have continued to soften. This is especially true of industrial production growth rates and projections. Generally, PMI is weaker, and particularly in the U.S., PMI was solidly below 50 for November and December. In addition, oil prices have continued to decline. We now expect our oil and gas business will decline at a higher rate for the full year and likely weighted more toward our U.S. business. And in the key emerging markets, particularly China and Brazil, we're not seeing any evidence of or catalyst for meaningful improvement in the near term. Our previous guidance call for reported sales of approximately $6 billion at the midpoint. Our revised guidance has reported sales a little under $5.9 billion. Prior guidance called for an organic sales decline of 4% at the low end to flat at the high end. The new range is a decline of 5% to a decline of 1%. Our previous margin guidance was about 21%. The new guidance is about 20.5%. That reflects the additional currency impact that's converting at a higher-than-normal rate. We talked about that last quarter, and we now see more risk to our product business growth rates and to our business in the U.S., both on average, higher-margin parts of our business. 
We previously expected margin conversion on the year-over-year sales decline of about 30%. Based on the changes I just mentioned, we now expect that to be about 35%. Previously, we expected a full year adjusted tax rate of 27%. We now expect that to be 25%, reflecting the benefit of the R&D tax credit that I mentioned. We're revising adjusted EPS guidance from the previous range of $5.90 to $6.40 to a new range of $5.70 to $6.20. You can think of the change in EPS guidance as about a $0.14 improvement due to the tax rate, about a $0.16 decline due to the additional currency headwind and about an $0.18 decline that is a combination of lower organic sales and a lower-margin expectation. 
We continue to expect to convert about 100% of net income to free cash flow. 
A couple of other items. We now expect general corporate-net expense to be approximately $75 million for the full year, and we expect average diluted shares outstanding to be closer to $131 million for the full year. 
And with that, I'll turn it over to Patrick for Q&A."
300504,322060402,921673,"Rockwell Automation Inc., Q1 2016 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","Rockwell Automation, Inc.","Executives","Before we start the Q&A, I just want to say that we would like to get as many -- to as many of you as possible. [Operator Instructions] Thank you. Operator, let's take our first question.",37,"Before we start the Q&A, I just want to say that we would like to get as many -- to as many of you as possible. [Operator Instructions] Thank you. Operator, let's take our first question."
300504,322060402,921673,"Rockwell Automation Inc., Q1 2016 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","Rockwell Automation, Inc.","Operator","[Operator Instructions] Your first question comes from Scott Davis from Barclays.",11,"[Operator Instructions] Your first question comes from Scott Davis from Barclays."
300504,322060402,921673,"Rockwell Automation Inc., Q1 2016 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","Rockwell Automation, Inc.","Analysts","I probably asked this question on 3 of the last 4 calls, but do you have a sense in China of what the overall market growth is and whether you're outperforming that or not? I mean, down 11 seems like a pretty big number, and I know the industrial economy",71,"I probably asked this question on 3 of the last 4 calls, but do you have a sense in China of what the overall market growth is and whether you're outperforming that or not? I mean, down 11 seems like a pretty big number, and I know the industrial economy over there isn't so great but that seems like a little outsized versus what some of your peers are putting up."
300504,322060402,921673,"Rockwell Automation Inc., Q1 2016 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","Rockwell Automation, Inc.","Executives","Well, we do not have great market data for China, but I would say that at this point we do not believe we're underperforming the underlying market. We just believe that some of the impacts, particularly in the heavy industries, continue to reduce capital",329,"Well, we do not have great market data for China, but I would say that at this point we do not believe we're underperforming the underlying market. We just believe that some of the impacts, particularly in the heavy industries, continue to reduce capital spending in many of those areas. Obviously, metals, cement, mining, all of those are very challenging at this point in time, and we have seen growth in many of our OEM sectors other than tire. Tire's been a major downturn this last quarter and last, probably, almost up to a year now. And -- but the other OEM sectors are able to grow, and we're seeing growth in mainly the consumer and automotive OEMs. Unfortunately, that those are still the smaller pieces of our business. So I think challenging in the broadest sense, but we continue to see new opportunities and continue to believe that China will be a very important growth market for us in the future. I was just there a little over a week ago, and I'm very encouraged with the outlook that the country has with what they're doing to drive towards their strategy of China Manufacturing 2025. That's their 10-year vision, but behind that is a 30-year vision as to where they're going to improve their competitiveness of their manufacturing sector now that their costs are increasing. And we believe that connected enterprise is absolutely the way that they will be able to start the journey to that 2025 vision that they have for their manufacturing sectors. So we're encouraged in the long term, and I think right now, we're just seeing a period of time where they're rebalancing some of their spending, some of their investments and as we know from the previous 5-year plan, that they are trying to drive towards a more consumption economy. And I think that once again played very strongly into the sectors that I said were performing better for us this past quarter."
300504,322060402,921673,"Rockwell Automation Inc., Q1 2016 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","Rockwell Automation, Inc.","Analysts","That makes sense and it's such a mix issue. Keith, I'm just curious on your view on this economy, and you've been -- you've seen cycles. You did -- you came into -- I mean, did an excellent job 2001, 2002, you were known as the cost-cutting guy back in th",175,"That makes sense and it's such a mix issue. Keith, I'm just curious on your view on this economy, and you've been -- you've seen cycles. You did -- you came into -- I mean, did an excellent job 2001, 2002, you were known as the cost-cutting guy back in that time period and did a great job of getting the asset base down to a realistic size and such. What do you see? I mean, you could make an argument, you know that this earnings, this guidance cut is going to be the first of many, or you can make an argument that you're being realistic to a modest industrial recession? What do you see? I'm just curious, in your opinion on what you see on the end game of -- if this gets substantially worse? And are you concerned about weakness in the industrial economy moving into the more consumer based plate which, of course, is where you guys have a lot of exposure? So a bit of an open-ended question but."
